Country,Region,Income group,Code,Selected,Value
Aruba,América Latina e Caribe,High income,ABW,,1
Afeganistão,Sul da Ásia,Low income,AFG,,2
Angola,África Subsaariana,Lower middle income,AGO,,3
Albânia,Europa e Ásia Central,Upper middle income,ALB,,4
Andorra,Europa e Ásia Central,High income,AND,,5
Emirados Árabes Unidos,Oriente Médio e Norte da África,High income,ARE,,6
Argentina,América Latina e Caribe,Upper middle income,ARG,,7
Armênia,Europa e Ásia Central,Upper middle income,ARM,,8
Samoa Americana,Ásia Oriental e Pacífico,High income,ASM,,9
Antígua e Barbuda,América Latina e Caribe,High income,ATG,,10
Austrália,Ásia Oriental e Pacífico,High income,AUS,,11
Áustria,Europa e Ásia Central,High income,AUT,,12
Azerbaijão,Europa e Ásia Central,Upper middle income,AZE,,13
Burundi,África Subsaariana,Low income,BDI,,14
Bélgica,Europa e Ásia Central,High income,BEL,,15
Benim,África Subsaariana,Lower middle income,BEN,,16
Burkina Faso,África Subsaariana,Low income,BFA,,17
Bangladesh,Sul da Ásia,Lower middle income,BGD,,18
Bulgária,Europa e Ásia Central,Upper middle income,BGR,,19
Bahrein,Oriente Médio e Norte da África,High income,BHR,,20
"Bahamas, As",América Latina e Caribe,High income,BHS,,21
Bósnia e Herzegovina,Europa e Ásia Central,Upper middle income,BIH,,22
Bielorrússia,Europa e Ásia Central,Upper middle income,BLR,,23
Belize,América Latina e Caribe,Upper middle income,BLZ,,24
Bermudas,América do Norte,High income,BMU,,25
Bolívia,América Latina e Caribe,Lower middle income,BOL,,26
Brasil,América Latina e Caribe,Upper middle income,BRA,,27
Barbados,América Latina e Caribe,High income,BRB,,28
Brunei Darussalã,Ásia Oriental e Pacífico,High income,BRN,,29
Butão,Sul da Ásia,Lower middle income,BTN,,30
Botsuana,África Subsaariana,Upper middle income,BWA,,31
República Centro-Africana,África Subsaariana,Low income,CAF,,32
Canadá,América do Norte,High income,CAN,,33
Suíça,Europa e Ásia Central,High income,CHE,,34
Ilhas do Canal,Europa e Ásia Central,High income,CHI,,35
Chile,América Latina e Caribe,High income,CHL,,36
China,Ásia Oriental e Pacífico,Upper middle income,CHN,,37
Costa do Marfim,África Subsaariana,Lower middle income,CIV,,38
Camarões,África Subsaariana,Lower middle income,CMR,,39
"Congo, Demo. Representante.",África Subsaariana,Low income,COD,,40
"Congo, Rep.",África Subsaariana,Lower middle income,COG,,41
Colômbia,América Latina e Caribe,Upper middle income,COL,,42
Comores,África Subsaariana,Lower middle income,COM,,43
Cabo Verde,África Subsaariana,Lower middle income,CPV,,44
