Country,Region,Income group,Code,Selected,Value
Aruba,América Latina y el Caribe,High income,ABW,,1
Afganistán,Asia meridional,Low income,AFG,,2
Angola,África subsahariana,Lower middle income,AGO,,3
Albania,Europa y Asia Central,Upper middle income,ALB,,4
Andorra,Europa y Asia Central,High income,AND,,5
Emiratos Árabes Unidos,Oriente Medio y Norte de África,High income,ARE,,6
Argentina,América Latina y el Caribe,Upper middle income,ARG,,7
Armenia,Europa y Asia Central,Upper middle income,ARM,,8
Samoa Americana,Asia Oriental y Pacífico,High income,ASM,,9
Antigua y Barbuda,América Latina y el Caribe,High income,ATG,,10
Australia,Asia Oriental y Pacífico,High income,AUS,,11
Austria,Europa y Asia Central,High income,AUT,,12
Azerbaiyán,Europa y Asia Central,Upper middle income,AZE,,13
Burundi,África subsahariana,Low income,BDI,,14
Bélgica,Europa y Asia Central,High income,BEL,,15
Benín,África subsahariana,Lower middle income,BEN,,16
Burkina Faso,África subsahariana,Low income,BFA,,17
Bangladesh,Asia meridional,Lower middle income,BGD,,18
Bulgaria,Europa y Asia Central,Upper middle income,BGR,,19
Bahréin,Oriente Medio y Norte de África,High income,BHR,,20
"bahamas, las",América Latina y el Caribe,High income,BHS,,21
Bosnia y Herzegovina,Europa y Asia Central,Upper middle income,BIH,,22
Bielorrusia,Europa y Asia Central,Upper middle income,BLR,,23
Belice,América Latina y el Caribe,Upper middle income,BLZ,,24
islas Bermudas,América del norte,High income,BMU,,25
bolivia,América Latina y el Caribe,Lower middle income,BOL,,26
Brasil,América Latina y el Caribe,Upper middle income,BRA,,27
Barbados,América Latina y el Caribe,High income,BRB,,28
Brunéi Darussalam,Asia Oriental y Pacífico,High income,BRN,,29
Bután,Asia meridional,Lower middle income,BTN,,30
Botsuana,África subsahariana,Upper middle income,BWA,,31
República Centroafricana,África subsahariana,Low income,CAF,,32
Canadá,América del norte,High income,CAN,,33
Suiza,Europa y Asia Central,High income,CHE,,34
Islas del Canal,Europa y Asia Central,High income,CHI,,35
Chile,América Latina y el Caribe,High income,CHL,,36
China,Asia Oriental y Pacífico,Upper middle income,CHN,,37
Costa de Marfil,África subsahariana,Lower middle income,CIV,,38
Camerún,África subsahariana,Lower middle income,CMR,,39
"Congo, República Democrática del Congo. Reps.",África subsahariana,Low income,COD,,40
"Congo, Rep.",África subsahariana,Lower middle income,COG,,41
Colombia,América Latina y el Caribe,Upper middle income,COL,,42
Comoras,África subsahariana,Lower middle income,COM,,43
Cabo Verde,África subsahariana,Lower middle income,CPV,,44
Costa Rica,América Latina y el Caribe,Upper middle income,CRI,,45
Cuba,América Latina y el Caribe,Upper middle income,CUB,,46
Curazao,América Latina y el Caribe,High income,CUW,,47
Islas Caimán,América Latina y el Caribe,High income,CYM,,48
Chipre,Europa y Asia Central,High income,CYP,,49
Chequia,Europa y Asia Central,High income,CZE,,50
Alemania,Europa y Asia Central,High income,DEU,,51
Yibuti,Oriente Medio y Norte de África,Lower middle income,DJI,,52
república dominicana,América Latina y el Caribe,Upper middle income,DMA,,53
Dinamarca,Europa y Asia Central,High income,DNK,,54
República Dominicana,América Latina y el Caribe,Upper middle income,DOM,,55
Argelia,Oriente Medio y Norte de África,Lower middle income,DZA,,56
Ecuador,América Latina y el Caribe,Upper middle income,ECU,,57
"Egipto, Rep. Árabe.",Oriente Medio y Norte de África,Lower middle income,EGY,,58
Eritrea,África subsahariana,Low income,ERI,,59
España,Europa y Asia Central,High income,ESP,,60
Estonia,Europa y Asia Central,High income,EST,,61
Etiopía,África subsahariana,Low income,ETH,,62
Finlandia,Europa y Asia Central,High income,FIN,,63
Fiyi,Asia Oriental y Pacífico,Upper middle income,FJI,,64
Francia,Europa y Asia Central,High income,FRA,,65
Islas Feroe,Europa y Asia Central,High income,FRO,,66
"Micronesia, Reserva Federal. Santos.",Asia Oriental y Pacífico,Lower middle income,FSM,,67
Gabón,África subsahariana,Upper middle income,GAB,,68
Reino Unido,Europa y Asia Central,High income,GBR,,69
Georgia,Europa y Asia Central,Upper middle income,GEO,,70
Ghana,África subsahariana,Lower middle income,GHA,,71
Gibraltar,Europa y Asia Central,High income,GIB,,72
Guinea,África subsahariana,Lower middle income,GIN,,73
"Gambia, La",África subsahariana,Low income,GMB,,74
Guinea-Bisáu,África subsahariana,Low income,GNB,,75
Guinea Ecuatorial,África subsahariana,Upper middle income,GNQ,,76
Grecia,Europa y Asia Central,High income,GRC,,77
Granada,América Latina y el Caribe,Upper middle income,GRD,,78
Tierra Verde,Europa y Asia Central,High income,GRL,,79
Guatemala,América Latina y el Caribe,Upper middle income,GTM,,80
Guam,Asia Oriental y Pacífico,High income,GUM,,81
Guayana,América Latina y el Caribe,High income,GUY,,82
"RAE de Hong Kong, China",Asia Oriental y Pacífico,High income,HKG,,83
Honduras,América Latina y el Caribe,Lower middle income,HND,,84
Croacia,Europa y Asia Central,High income,HRV,,85
Haití,América Latina y el Caribe,Lower middle income,HTI,,86
Hungría,Europa y Asia Central,High income,HUN,,87
Indonesia,Asia Oriental y Pacífico,Upper middle income,IDN,,88
isla de man,Europa y Asia Central,High income,IMN,,89
India,Asia meridional,Lower middle income,IND,,90
Irlanda,Europa y Asia Central,High income,IRL,,91
"Irán, Rep. Islámica.",Oriente Medio y Norte de África,Lower middle income,IRN,,92
Irak,Oriente Medio y Norte de África,Upper middle income,IRQ,,93
Islandia,Europa y Asia Central,High income,ISL,,94
Israel,Oriente Medio y Norte de África,High income,ISR,,95
Italia,Europa y Asia Central,High income,ITA,,96
Jamaica,América Latina y el Caribe,Upper middle income,JAM,,97
Jordán,Oriente Medio y Norte de África,Lower middle income,JOR,,98
Japón,Asia Oriental y Pacífico,High income,JPN,,99
Kazajstán,Europa y Asia Central,Upper middle income,KAZ,,100
Kenia,África subsahariana,Lower middle income,KEN,,101
República Kirguisa,Europa y Asia Central,Lower middle income,KGZ,,102
Camboya,Asia Oriental y Pacífico,Lower middle income,KHM,,103
Kiribati,Asia Oriental y Pacífico,Lower middle income,KIR,,104
San Cristóbal y Nieves,América Latina y el Caribe,High income,KNA,,105
"Corea, Rep.",Asia Oriental y Pacífico,High income,KOR,,106
Kuwait,Oriente Medio y Norte de África,High income,KWT,,107
República Democrática Popular Lao,Asia Oriental y Pacífico,Lower middle income,LAO,,108
Líbano,Oriente Medio y Norte de África,Lower middle income,LBN,,109
Liberia,África subsahariana,Low income,LBR,,110
Libia,Oriente Medio y Norte de África,Upper middle income,LBY,,111
Santa Lucía,América Latina y el Caribe,Upper middle income,LCA,,112
Liechtenstein,Europa y Asia Central,High income,LIE,,113
Sri Lanka,Asia meridional,Lower middle income,LKA,,114
Lesoto,África subsahariana,Lower middle income,LSO,,115
Lituania,Europa y Asia Central,High income,LTU,,116
Luxemburgo,Europa y Asia Central,High income,LUX,,117
Letonia,Europa y Asia Central,High income,LVA,,118
"RAE de Macao, China",Asia Oriental y Pacífico,High income,MAC,,119
San Martín (parte francesa),América Latina y el Caribe,High income,MAF,,120
Marruecos,Oriente Medio y Norte de África,Lower middle income,MAR,,121
Mónaco,Europa y Asia Central,High income,MCO,,122
Moldavia,Europa y Asia Central,Upper middle income,MDA,,123
Madagascar,África subsahariana,Low income,MDG,,124
Maldivas,Asia meridional,Upper middle income,MDV,,125
México,América Latina y el Caribe,Upper middle income,MEX,,126
Islas Marshall,Asia Oriental y Pacífico,Upper middle income,MHL,,127
Macedonia del Norte,Europa y Asia Central,Upper middle income,MKD,,128
Malí,África subsahariana,Low income,MLI,,129
Malta,Oriente Medio y Norte de África,High income,MLT,,130
Birmania,Asia Oriental y Pacífico,Lower middle income,MMR,,131
Montenegro,Europa y Asia Central,Upper middle income,MNE,,132
Mongolia,Asia Oriental y Pacífico,Lower middle income,MNG,,133
Islas Marianas del Norte,Asia Oriental y Pacífico,High income,MNP,,134
Mozambique,África subsahariana,Low income,MOZ,,135
Mauritania,África subsahariana,Lower middle income,MRT,,136
Mauricio,África subsahariana,Upper middle income,MUS,,137
Malaui,África subsahariana,Low income,MWI,,138
Malasia,Asia Oriental y Pacífico,Upper middle income,MYS,,139
Namibia,África subsahariana,Upper middle income,NAM,,140
Nueva Caledonia,Asia Oriental y Pacífico,High income,NCL,,141
Níger,África subsahariana,Low income,NER,,142
Nigeria,África subsahariana,Lower middle income,NGA,,143
Nicaragua,América Latina y el Caribe,Lower middle income,NIC,,144
Países Bajos,Europa y Asia Central,High income,NLD,,145
Noruega,Europa y Asia Central,High income,NOR,,146
Nepal,Asia meridional,Lower middle income,NPL,,147
Nauru,Asia Oriental y Pacífico,High income,NRU,,148
Nueva Zelanda,Asia Oriental y Pacífico,High income,NZL,,149
Omán,Oriente Medio y Norte de África,High income,OMN,,150
Pakistán,Asia meridional,Lower middle income,PAK,,151
Panamá,América Latina y el Caribe,High income,PAN,,152
Perú,América Latina y el Caribe,Upper middle income,PER,,153
Filipinas,Asia Oriental y Pacífico,Lower middle income,PHL,,154
Palaos,Asia Oriental y Pacífico,Upper middle income,PLW,,155
Papúa Nueva Guinea,Asia Oriental y Pacífico,Lower middle income,PNG,,156
Polonia,Europa y Asia Central,High income,POL,,157
