Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_Encephalitis,preset_ARChetype Syndromic CRF_VHF,Comment,Value
Acide acétylsalicylique (aspirine),B01AC06 , ATC     ,1,,1.0,1.0,,,,1.0,1.0,,1
Altéplase (Activase),B01AD02, ATC     ,,,,,,,,,,,2
Apixaban (Eliquis),B01AF02 , ATC     ,1,1.0,1.0,1.0,,,,1.0,1.0,,3
Argatroban (Acova),B01AE03, ATC     , ,,,,,,,,,,4
Bivalirudine (Angiomax),B01AE06 , ATC     , ,,,,,,,,,,5
Clopidogrel (Plavix),B01AC04 , ATC     ,1,,,,,,,1.0,,,6
Dabigatran étexilate (Pradaxa),B01AE07 , ATC     ,1,,,,,,,1.0,,,7
Daltéparine (Fragmin),B01AB04 , ATC     , ,,,,,,,,,,8
Désirudine (Iprivask),B01AE01, ATC     , ,,,,,,,,,,9
"Édoxaban (Savaysa, Lixiana)",B01AF03 , ATC     , ,,,,,,,,,,10
Énoxaparine (Lovenox),B01AB05 , ATC     ,1,1.0,1.0,1.0,,,1.0,1.0,1.0,,11
Fondaparinux (Arixtra),B01AX05 , ATC     , ,,,,,,,,,,12
Héparine (héparine non fractionnée),B01AB01 , ATC     ,1,,1.0,1.0,,,1.0,1.0,1.0,,13
Lépirudine (Refludan),B01AE02, ATC     , ,,,,,,,,,,14
Rivaroxaban (Xarelto),B01AF01 , ATC     ,1,1.0,,,,,,1.0,,,15
Streptokinase,B01AD01, ATC     ,,,,,,,,,,,16
Ticagrélor (Brilinta),B01AC24 , ATC     ,1,,,,,,,1.0,,,17
Ticlopidine (Ticlid,B01AC05,ATC,,,,,,,,,,,18
Tinzaparine (Innohep),B01AB10, ATC     , ,,,,,,,,,,19
Urokinase (Kinlytique),B01AD04, ATC     ,,,,,,,,,,,20
"Warfarine (Coumadin, Jantoven)",B01AA03 , ATC     ,1,,1.0,1.0,,,,1.0,1.0,,21
