Drugs,Code, Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_UserGenerated_Oropouche,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_User Generated CRF_Encephalitis,Comment,Value
"0,18 % à 0,3 % de chlorure de sodium + 4 % de glucose (solution saline hypotonique avec dextrose)",,,,,,1,1,,,,1,1,,,,1
"0,45 % de chlorure de sodium (solution saline semi-normale)",,,,,,1,1,,,,1,1,,,,2
"Solution saline normale à 0,45 % + 4 % de glucose (solution saline semi-normale avec dextrose)",,,,,,1,1,,,,1,1,,,,3
"0,9 % de chlorure de sodium (solution saline normale)",,,,,,1,1,,,,1,1,,1.0,,4
5% de glucose (dextrose 5% dans l'eau),,,,,,1,1,,,,1,1,,1.0,,5
Albumine,,,,,,1,1,,,,1,1,,1.0,,6
Gélatines,,,,,,1,1,,,,1,1,,,,7
Ringers lactés (USP),,,,,,1,1,,,,1,1,,1.0,,8
Plasmalyte,,,,,,1,1,,,,1,1,,1.0,,9
Acétate de sonneries,,,,,,1,1,,,,1,1,,,,10
Amidons,,,,,,1,1,,,,1,1,,,,11
