Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Syndromic CRF_Encephalitis,Value
Abatacept (Orencia), L04AA24  , ATC     , ,,,,,,1
Adalimumab (Humira), L04AB04  , ATC     ,1,,,,,1.0,2
"Alemtuzumab (Campath, Lemtrada)", L04AA34, ATC     ,,1.0,1.0,,1.0,,3
Anakinra,L04AC03,ATC,,,,,,1.0,4
"Azathioprine (Imuran, Azasan)", L04AX01  , ATC     ,1,1.0,1.0,1.0,1.0,1.0,5
Basiliximab (Simulect), L04AC02, ATC     , ,,,,,,6
Bélatacept (Nulojix), L04AA28, ATC     , ,,,,,1.0,7
"Ciclosporine (Neoral, Sandimmune, Gengraf)", L04AD01  , ATC     ,1,1.0,1.0,,1.0,1.0,8
Étanercept (Enbrel), L04AB01  , ATC     ,1,,,,,1.0,9
"Évérolimus (Afinitor, Zortress)", L04AA18  , ATC     , ,1.0,1.0,,,,10
"Infliximab (Avsola, Inflectra, Remicade)", L04AB02  , ATC     ,1,,,,,1.0,11
Léflunomide (Arava), L04AA13  , ATC     , ,,,,,1.0,12
Mercaptopurine (Purixan),L01BB02,ATC,,,,,,1.0,13
"Méthotrexate (Trexall, Rasuvo, Otrexup)",L04AX03  ,ATC     ,1,1.0,1.0,1.0,,1.0,14
Mycophénolate mofétil (CellCept), L04AA06  , ATC     ,1,1.0,1.0,,,1.0,15
Acide mycophénolique (Myfortic), L04AA06, ATC     ,1,,,1.0,,1.0,16
Natalizumab (Tysabri), L04AA23  , ATC     , ,,,,,,17
Nivolumab (Opdivo),L01FF02,ATC,,,,,,,18
"Rituximab (Rituxan, MabThera)",L01FA01 , ATC     ,1,1.0,1.0,1.0,,1.0,19
Sarilumab (Kevzara), L04AC14, ATC     ,1,,,,,1.0,20
Sécukinumab (Cosentyx), L04AC10  , ATC     , ,,,,,,21
Sirolimus (Rapamune), L04AA10  , ATC     , ,1.0,1.0,,1.0,1.0,22
"Tacrolimus (Prograf, Advagraf, Protopic)", L04AD02  , ATC     ,1,1.0,1.0,,1.0,1.0,23
Thalidomide (Thalomid),L04AX02,ATC,,,,,,,24
Tocilizumab (Actemra), L04AC07  , ATC     ,1,,,1.0,,1.0,25
Ustekinumab (Stelara), L04AC05  , ATC     , ,,,,,,26
Védolizumab (Entyvio), L04AA33, ATC     , ,,,,,,27
