Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Encephalitis,preset_ARChetype Syndromic CRF_VHF,Value
"Acide acétylsalicylique (Aspirine, Ascriptine, Ecotrin)",N02BA01, ATC     ,1,1,1,1,1.0,1.0,1
Célécoxib (Celebrex), M01AH01 , ATC     ,1,1,1,1,1.0,1.0,2
"Diclofénac (Voltaren, Cataflam)", M01AB05 , ATC     ,1,1,1,1,1.0,1.0,3
Étoricoxib (Arcoxia), M01AH05 , ATC     , , , , ,,,4
"Flurbiprofène (Ansaid, Ocufen)", M01AE09 , ATC     , , , , ,1.0,,5
"Ibuprofène (Advil, Motrin)", M01AE01 , ATC     ,1,1,1,1,1.0,1.0,6
Indométacine (Indocine), M01AB01 , ATC     ,1,1,1,1,1.0,1.0,7
"Kétoprofène (Orudis, Oruvail)", M01AE03 , ATC     , , , , ,,,8
Kétorolac (Toradol), M01AB15 , ATC     , , , , ,,,9
Acide méfénamique (Ponstel), M01AG01 , ATC     , , , , ,1.0,,10
Méloxicam (Mobic), M01AC06 , ATC     , , , , ,,,11
Nabumétone (Relafen), M01AX01 , ATC     , , , , ,,,12
"Naproxène (Aleve, Naprosyn)", M01AE02 , ATC     ,1,1,1,1,1.0,,13
Piroxicam (Feldène), M01AC01 , ATC     , , ,, ,,,14
Sulindac (Clinoril), M01AB02 , ATC     , , ,, ,,,15
