Sequelae,Code,Selected,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value
Cécité,,1.0,1.0,1.0,1.0,,1
Effets cardiovasculaires,,,,,,1.0,2
Diminution de la vision,,1.0,1.0,1.0,1.0,,3
Dépression,,1.0,1.0,1.0,1.0,,4
Dyspareunie,,1.0,1.0,1.0,1.0,,5
Conséquence immunologique,,,,,,1.0,6
Complications neurologiques,,,,,,1.0,7
Impacts psychologiques,,,,,,1.0,8
Sténose rectale,,1.0,1.0,1.0,1.0,,9
Complications respiratoires,,,,,,1.0,10
Effets systémiques,,,,,,1.0,11
Sténose urétrale,,1.0,1.0,1.0,1.0,,12
Sténose vaginale,,1.0,1.0,1.0,1.0,,13
