Sample_Type,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_VHF,Value
Liquide amniotique,TEMP,TEMP,,,,,,,,,,1
BAL (Lavage Broncho-Alvéolaire),TEMP,TEMP,1.0,1.0,,,,1.0,,1.0,1.0,2
Sang,TEMP,TEMP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3
Lait maternel,TEMP,TEMP,,,,,,,,,,4
Écouvillon buccal,TEMP,TEMP,,,,1.0,1.0,,1.0,,1.0,5
LCR (Liquide Cérébrospinal),TEMP,TEMP,,,1.0,1.0,1.0,,1.0,,1.0,6
Écouvillonnage combiné nasal/NP + gorge,TEMP,TEMP,1.0,1.0,,,,1.0,,1.0,1.0,7
ETA (aspiration endotrachéale),TEMP,TEMP,1.0,1.0,,,,1.0,,1.0,1.0,8
Écouvillon oculaire,TEMP,TEMP,,,,1.0,1.0,,1.0,1.0,,9
Fèces/écouvillonnage rectal,TEMP,TEMP,,,,1.0,1.0,,1.0,,,10
Écouvillonnage de lésion/croûte (peau),TEMP,TEMP,,,,1.0,1.0,,1.0,,,11
Écouvillon nasal/NP,TEMP,TEMP,1.0,1.0,,,,1.0,,1.0,1.0,12
Sang du nouveau-né,TEMP,TEMP,,,1.0,,,,,,,13
Sperme,TEMP,TEMP,,,,1.0,1.0,,1.0,,,14
Expectorations,TEMP,TEMP,1.0,1.0,,,,1.0,,1.0,1.0,15
Échantillon de selles,TEMP,TEMP,,,,,,,,,,16
Écouvillonnage de la gorge,TEMP,TEMP,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,17
Écouvillon urétral,TEMP,TEMP,,,,,,,,,,18
Urine,TEMP,TEMP,,,,1.0,1.0,,1.0,,,19
Écouvillon vaginal,TEMP,TEMP,,,,1.0,1.0,,1.0,,,20
