Condition,Code,Library,Value,Selected
Síndrome do desconforto respiratório agudo (SDRA),67782005,SNOMED,1,1
Bacteremia,5758002,SNOMED,2,1
Infarto do Miocárdio,22298006,SNOMED,3,1
Achado neurológico,102957003,SNOMED,4,1
Pneumonia,233604007,SNOMED,5,1
Embolia Pulmonar,59282003,SNOMED,6,1
Choque Séptico,76571007,SNOMED,7,1
Distúrbio de coagulação adquirido,234466008,SNOMED,8,1
Síndrome de insuficiência renal aguda,14669001,SNOMED,9,1
Sangramento,131148009,SNOMED,10,1
Parada cardíaca,410429000,SNOMED,11,1
AVC cardioembólico,413758000,SNOMED,12,1
Choque Cardiogênico,89138009,SNOMED,13,1
AVC cerebelar,16371781000119100,SNOMED,14,1
Descompensação,87228002,SNOMED,15,1
Trombose venosa profunda,128053003,SNOMED,16,1
Coagulação Intravascular Disseminada (DIC),67406007,SNOMED,17,1
Empiema,312682007,SNOMED,18,1
Encefalite,45170000,SNOMED,19,1
AVC hemorrágico,1078001000000100,SNOMED,20,1
Pneumonia adquirida no hospital,425464007,SNOMED,21,1
Encefalopatia isquêmica,389100007,SNOMED,22,1
AVC isquêmico,422504002,SNOMED,23,1
Fígado grande,80515008,SNOMED,24,1
Meningite,7180009,SNOMED,25,1
Síndrome inflamatória multissistêmica em adultos,1119306006,SNOMED,26,1
Síndrome inflamatória multissistêmica em crianças,895448002,SNOMED,27,1
Pneumotórax,36118008,SNOMED,28,1
Sangramento gastrointestinal recorrente,307296008,SNOMED,29,1
Infecção urinária recorrente,197927001,SNOMED,30,1
Sepse,91302008,SNOMED,31,1
AVC trombótico,371040005,SNOMED,32,1
Isquemia cerebral transitória,266257000,SNOMED,33,1
Hipotensão transitória,94501000000000,SNOMED,34,1
Pneumonia associada ao ventilador,429271009,SNOMED,35,1
