Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_Encephalitis,preset_ARChetype Syndromic CRF_VHF,Comment,Value
Ácido Acetilsalicílico (Aspirina),B01AC06 , ATC     ,1,,1.0,1.0,,,,1.0,1.0,,1
Alteplase (ativase),B01AD02, ATC     ,,,,,,,,,,,2
Apixabana (Eliquis),B01AF02 , ATC     ,1,1.0,1.0,1.0,,,,1.0,1.0,,3
Argatroban (Acova),B01AE03, ATC     , ,,,,,,,,,,4
Bivalirudina (Angiomax),B01AE06 , ATC     , ,,,,,,,,,,5
Clopidogrel (Plavix),B01AC04 , ATC     ,1,,,,,,,1.0,,,6
Dabigatrana Etexilato (Pradaxa),B01AE07 , ATC     ,1,,,,,,,1.0,,,7
Dalteparina (Fragmin),B01AB04 , ATC     , ,,,,,,,,,,8
Desirudina (Iprivask),B01AE01, ATC     , ,,,,,,,,,,9
"Edoxabana (Savaysa, Lixiana)",B01AF03 , ATC     , ,,,,,,,,,,10
Enoxaparina (Lovenox),B01AB05 , ATC     ,1,1.0,1.0,1.0,,,1.0,1.0,1.0,,11
Fondaparinux (Arixtra),B01AX05 , ATC     , ,,,,,,,,,,12
Heparina (heparina não fracionada),B01AB01 , ATC     ,1,,1.0,1.0,,,1.0,1.0,1.0,,13
Lepirudina (Refludan),B01AE02, ATC     , ,,,,,,,,,,14
Rivaroxabana (Xarelto),B01AF01 , ATC     ,1,1.0,,,,,,1.0,,,15
Estreptoquinase,B01AD01, ATC     ,,,,,,,,,,,16
Ticagrelor (Brilinta),B01AC24 , ATC     ,1,,,,,,,1.0,,,17
Ticlopidina (Ticlid,B01AC05,ATC,,,,,,,,,,,18
Tinzaparina (Innohep),B01AB10, ATC     , ,,,,,,,,,,19
Uroquinase (cinlítica),B01AD04, ATC     ,,,,,,,,,,,20
"Varfarina (Coumadin, Jantoven)",B01AA03 , ATC     ,1,,1.0,1.0,,,,1.0,1.0,,21
