Drugs,Code, Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_UserGenerated_Oropouche,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_User Generated CRF_Encephalitis,Comment,Value
"0,18%-0,3% de cloreto de sódio + 4% de glicose (solução salina hipotônica com dextrose)",,,,,,1,1,,,,1,1,,,,1
"Cloreto de sódio a 0,45% (solução salina meio normal)",,,,,,1,1,,,,1,1,,,,2
"Solução salina normal 0,45% + glicose 4% (solução salina meio normal com dextrose)",,,,,,1,1,,,,1,1,,,,3
"Cloreto de Sódio 0,9% (Solução Salina Normal)",,,,,,1,1,,,,1,1,,1.0,,4
5% de glicose (Dextrose 5% em água),,,,,,1,1,,,,1,1,,1.0,,5
Albumina,,,,,,1,1,,,,1,1,,1.0,,6
Gelatinas,,,,,,1,1,,,,1,1,,,,7
Ringers com lactato (USP),,,,,,1,1,,,,1,1,,1.0,,8
Plasmalito,,,,,,1,1,,,,1,1,,1.0,,9
Acetato de campainhas,,,,,,1,1,,,,1,1,,,,10
Amidos,,,,,,1,1,,,,1,1,,,,11
