Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Syndromic CRF_Encephalitis,Value
Abatacept (Orencia), L04AA24  , ATC     , ,,,,,,1
Adalimumabe (Humira), L04AB04  , ATC     ,1,,,,,1.0,2
"Alemtuzumab (Campath, Lemtrada)", L04AA34, ATC     ,,1.0,1.0,,1.0,,3
Anakinra,L04AC03,ATC,,,,,,1.0,4
"Azatioprina (Imuran, Azasan)", L04AX01  , ATC     ,1,1.0,1.0,1.0,1.0,1.0,5
Basiliximabe (Simulect), L04AC02, ATC     , ,,,,,,6
Belatacept (Nulojix), L04AA28, ATC     , ,,,,,1.0,7
"Ciclosporina (Neoral, Sandimmune, Gengraf)", L04AD01  , ATC     ,1,1.0,1.0,,1.0,1.0,8
Etanercept (Enbrel), L04AB01  , ATC     ,1,,,,,1.0,9
"Everolimus (Afinitor, Zortress)", L04AA18  , ATC     , ,1.0,1.0,,,,10
"Infliximabe (Avsola, Inflectra, Remicade)", L04AB02  , ATC     ,1,,,,,1.0,11
Leflunomida (Arava), L04AA13  , ATC     , ,,,,,1.0,12
Mercaptopurina (Purixan),L01BB02,ATC,,,,,,1.0,13
"Metotrexato (Trexall, Rasuvo, Otrexup)",L04AX03  ,ATC     ,1,1.0,1.0,1.0,,1.0,14
Micofenolato de mofetil (CellCept), L04AA06  , ATC     ,1,1.0,1.0,,,1.0,15
Ácido Micofenólico (Myfortic), L04AA06, ATC     ,1,,,1.0,,1.0,16
Natalizumabe (Tysabri), L04AA23  , ATC     , ,,,,,,17
Nivolumabe (Opdivo),L01FF02,ATC,,,,,,,18
"Rituximabe (Rituxan, MabThera)",L01FA01 , ATC     ,1,1.0,1.0,1.0,,1.0,19
Sarilumabe (Kevzara), L04AC14, ATC     ,1,,,,,1.0,20
Secuquinumabe (Cosentyx), L04AC10  , ATC     , ,,,,,,21
Sirolimus (Rapamune), L04AA10  , ATC     , ,1.0,1.0,,1.0,1.0,22
"Tacrolimus (Prograf, Advagraf, Protopic)", L04AD02  , ATC     ,1,1.0,1.0,,1.0,1.0,23
Talidomida (Talomida),L04AX02,ATC,,,,,,,24
Tocilizumabe (Actemra), L04AC07  , ATC     ,1,,,1.0,,1.0,25
Ustecinumabe (Stelara), L04AC05  , ATC     , ,,,,,,26
Vedolizumabe (Entyvio), L04AA33, ATC     , ,,,,,,27
