Outcome,Code,Selected,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value
Todas as lesões foram completamente resolvidas e sem complicações graves,,,1.0,1.0,1.0,,1
Todas as lesões não estão mais ativas e sem complicações graves,,,1.0,1.0,1.0,,2
Morte,,1.0,1.0,1.0,1.0,1.0,3
Alta com vida - motivos médicos,,1.0,1.0,1.0,1.0,1.0,4
Alta com vida - preferência do paciente,,1.0,1.0,1.0,1.0,1.0,5
Retirada antecipada,,1.0,1.0,1.0,1.0,1.0,6
Perda de acompanhamento,,1.0,1.0,1.0,1.0,1.0,7
Nenhuma lesão se desenvolveu e nenhuma complicação grave,,,1.0,1.0,1.0,,8
Uma ou mais lesões estão ativas e sem complicações graves,,,1.0,1.0,1.0,,9
Cuidados Paliativos,,,,,,1.0,10
Complicação grave e/ou reinternação devido a infecção pelo patógeno de interesse,,,1.0,1.0,1.0,1.0,11
Ainda hospitalizado,,1.0,1.0,1.0,1.0,1.0,12
Transferência para outra instalação,,1.0,1.0,1.0,1.0,1.0,13
