Sequelae,Code,Selected,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value
Cegueira,,1.0,1.0,1.0,1.0,,1
Efeitos Cardiovasculares,,,,,,1.0,2
Visão diminuída,,1.0,1.0,1.0,1.0,,3
Depressão,,1.0,1.0,1.0,1.0,,4
Dispareunia,,1.0,1.0,1.0,1.0,,5
Consequência Imunológica,,,,,,1.0,6
Complicações Neurológicas,,,,,,1.0,7
Impactos Psicológicos,,,,,,1.0,8
Estenose retal,,1.0,1.0,1.0,1.0,,9
Complicações Respiratórias,,,,,,1.0,10
Efeitos Sistêmicos,,,,,,1.0,11
Estenose uretral,,1.0,1.0,1.0,1.0,,12
Estenose vaginal,,1.0,1.0,1.0,1.0,,13
