Disease,Code,Library,Selected,preset_ARChetype Syndromic CRF_ARI,Value
Trabajador de matadero,,,1.0,1.0,1
Trabajador agrícola de ganado vacuno,,,1.0,1.0,2
Trabajador de granja lechera,,,1.0,1.0,3
Trabajador de la salud,,,1.0,1.0,4
Trabajador del mercado de aves vivas,,,,1.0,5
Otro trabajador del mercado de animales vivos,,,,1.0,6
Trabajador de granja avícola,,,1.0,1.0,7
desechador de aves de corral,,,,1.0,8
Trabajador de transporte público,,,,,9
Trabajador de saneamiento,,,,,10
Trabajador de granja porcina,,,,1.0,11
Veterinario,,,1.0,1.0,12
