Outcome,Code,Selected,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value
Todas las lesiones están completamente resueltas y sin complicaciones graves.,,,1.0,1.0,1.0,,1
Todas las lesiones ya no están activas y no hay complicaciones graves.,,,1.0,1.0,1.0,,2
Muerte,,1.0,1.0,1.0,1.0,1.0,3
Alta viva - motivos médicos,,1.0,1.0,1.0,1.0,1.0,4
Alta viva: preferencia del paciente,,1.0,1.0,1.0,1.0,1.0,5
Retiro anticipado,,1.0,1.0,1.0,1.0,1.0,6
Pérdida de seguimiento,,1.0,1.0,1.0,1.0,1.0,7
Nunca se desarrollaron lesiones ni complicaciones graves.,,,1.0,1.0,1.0,,8
Una o más lesiones están activas y no presentan complicaciones graves.,,,1.0,1.0,1.0,,9
Cuidados paliativos,,,,,,1.0,10
Complicación grave y/o rehospitalización por infección con patógeno de interés,,,1.0,1.0,1.0,1.0,11
Todavía hospitalizado,,1.0,1.0,1.0,1.0,1.0,12
Traslado a otra instalación,,1.0,1.0,1.0,1.0,1.0,13
