Sequelae,Code,Selected,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value
Ceguera,,1.0,1.0,1.0,1.0,,1
Efectos cardiovasculares,,,,,,1.0,2
Visión disminuida,,1.0,1.0,1.0,1.0,,3
Depresión,,1.0,1.0,1.0,1.0,,4
dispareunia,,1.0,1.0,1.0,1.0,,5
Consecuencia inmunológica,,,,,,1.0,6
Complicaciones neurológicas,,,,,,1.0,7
Impactos psicológicos,,,,,,1.0,8
estenosis rectal,,1.0,1.0,1.0,1.0,,9
Complicaciones respiratorias,,,,,,1.0,10
Efectos sistémicos,,,,,,1.0,11
estenosis uretral,,1.0,1.0,1.0,1.0,,12
estenosis vaginal,,1.0,1.0,1.0,1.0,,13
