Condition,Code,Library,Selected,Charlson,Elixhauser,Value
Insuffisance rénale aiguë ou chronique,236433006,SNOMED,1,1.0,1.0,1
Asplénie,707147002,SNOMED,1,,1.0,2
Fibrillation auriculaire,49436004,SNOMED,1,,1.0,3
Maladie auto-immune,85828009,SNOMED,1,,,4
Trouble de la coagulation sanguine,64779008,SNOMED,1,,,5
Cardiomyopathie,85898001,SNOMED,1,,1.0,6
Maladie cérébrovasculaire,62914000,SNOMED,1,1.0,1.0,7
Maladie hématologique chronique,398983000,SNOMED,1,,,8
Infection chronique,177010002,SNOMED,1,,,9
Maladie rénale chronique,709044004,SNOMED,1,1.0,1.0,10
Hépatite virale chronique,10295004,SNOMED,1,,1.0,11
Maladie cardiaque chronique,128238001,SNOMED,1,,1.0,12
Trouble inflammatoire chronique,128294001,SNOMED,1,,,13
Maladie pulmonaire chronique,413839001,SNOMED,1,,1.0,14
Trouble métabolique chronique,128289001,SNOMED,1,,1.0,15
Cardiopathie congénitale,13213009,SNOMED,1,,1.0,16
Insuffisance cardiaque congestive,42343007,SNOMED,1,1.0,1.0,17
Démence,52448006,SNOMED,1,1.0,1.0,18
Diabète sucré (tous les types),73211009,SNOMED,1,1.0,1.0,19
Maladie du foie,235856003,SNOMED,1,,1.0,20
Trouble du métabolisme lipidique,267431006,SNOMED,1,,1.0,21
Trouble de la circulation pulmonaire,39785005,SNOMED,1,,1.0,22
Hypertension essentielle,59621000,SNOMED,1,,1.0,23
Trouble des valvules cardiaques,368009,SNOMED,1,,1.0,24
Hémiplégie,50582007,SNOMED,1,1.0,1.0,25
Maladie du virus de l'immunodéficience humaine [VIH],19030005,SNOMED,1,1.0,1.0,26
Hyperthyroïdie,34486009,SNOMED,1,,1.0,27
Hypothyroïdie,40930008,SNOMED,1,,1.0,28
Immunosuppression,38013005,SNOMED,1,,1.0,29
Cardiopathie ischémique,414545008,SNOMED,1,1.0,1.0,30
Leucémie,93143009,SNOMED,1,1.0,1.0,31
Lymphome malin,118600007,SNOMED,1,1.0,1.0,32
Tumeur carcinoïde métastatique Cancer,705176003,SNOMED,1,1.0,1.0,33
Maladie hépatique modérée ou grave,235856003 |Disorder of liver (disorder)|371924009 |Moderate to severe (qualifier value)|,SNOMED,1,1.0,1.0,34
Maladie rénale modérée ou sévère,90708001 |Kidney disease (disorder)|371924009 |Moderate to severe (qualifier value)|,SNOMED,1,1.0,1.0,35
Myélome multiple,109989006,SNOMED,1,1.0,1.0,36
Infarctus du myocarde,22298006,SNOMED,1,1.0,1.0,37
Troubles neurodégénératifs,80690008,SNOMED,1,,1.0,38
Trouble neurologique confirmé,407626008,SNOMED,1,,1.0,39
Obésité,414916001,SNOMED,1,,1.0,40
Paraplégie,60389000,SNOMED,1,1.0,1.0,41
Maladie vasculaire périphérique,400047006,SNOMED,1,1.0,1.0,42
Tumeur maligne primitive,372087000,SNOMED,1,1.0,1.0,43
Trouble lié à l'usage de substances psychoactives,11061003,SNOMED,1,,1.0,44
Maladies rares et erreurs innées du métabolisme,4121882,SNOMED,1,,,45
Psychoses réactives,231437006,SNOMED,1,,1.0,46
Thrombose veineuse profonde récurrente,710167004,SNOMED,1,,1.0,47
Troubles rhumatoïdes,396332003,SNOMED,1,1.0,1.0,48
Fumeur,77176002,SNOMED,1,,1.0,49
Configuration de tumeur solide,369757002,SNOMED,1,1.0,1.0,50
Accident vasculaire cérébral,230690007,SNOMED,1,1.0,1.0,51
Transplantation présente,737294004,SNOMED,1,1.0,1.0,52
Tuberculose,56717001,SNOMED,1,1.0,1.0,53
Maladie du tissu conjonctif indifférenciée,239918008,SNOMED,1,,1.0,54
Arthrose,396275006,SNOMED,1,,,55
Polyarthrite rhumatoïde,69896004,SNOMED,1,,,56
Sclérose en plaques,24700007,SNOMED,1,,,57
La maladie d'Alzheimer,26929004,SNOMED,1,,,58
