Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline
apresentação,,subjid,Número de identificação do participante (PIN),,O Número de Identificação do Participante ou PIN é um número único utilizado para identificar os dados do paciente (participante).,Escreva o número de identificação do participante (PIN).
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_disease,Infecção suspeita ou confirmada,,Refere-se a qualquer infecção suspeita ou confirmada.,"Se houver suspeita de mais de uma infecção, selecione a mais provável e preencha a seção TESTE DE PATÓGENOS com a confirmação laboratorial."
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_reason,A infecção suspeita ou confirmada é o motivo da admissão hospitalar?,"1, Sim | 0, Não | 99, Desconhecido","Refere-se à existência de uma infecção suspeita ou confirmada pelo agente patogénico em questão, se for essa a razão (indicação) para a admissão hospitalar.",Indique “Sim” se houver suspeita ou confirmação de infecção pelo patógeno de interesse se esse for o motivo (indicação) da admissão hospitalar. Indique “Não” se a suspeita ou confirmação de infecção pelo patógeno de interesse não for o motivo (indicação) da admissão hospitalar.
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_case,Status do caso,"1, Confirmado | 2, Provável | 3, Suspeito | 4, Descartado | 5, Erro","Confirmado refere-se a um caso confirmado em laboratório e que pode cumprir os critérios clínicos descritos na definição do caso. Provável refere-se a uma doença clinicamente compatível que está epidemiologicamente ligada a um caso confirmado sem confirmação laboratorial de infecção pelo patógeno de interesse. Suspeito refere-se a uma doença clinicamente compatível sem ligação epidemiológica ou confirmação laboratorial. Descartado refere-se a um paciente com um teste laboratorial negativo e que não cumpriu os critérios para um caso suspeito, provável ou confirmado. ",Selecione a opção mais adequada que representa o status do caso. 
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_testreason,Motivo pelo qual o paciente foi testado,"1, Sintomático | 2, Assintomático, contato rastreado | 3, Assintomático, campanha de testagem em massa | 4, Não testado",Refere-se ao motivo pelo qual o paciente foi testado para o patógeno de interesse.,Selecione a opção mais adequada que corresponde ao motivo pelo qual o paciente foi testado para o patógeno de interesse.
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_testreason_otth,Especifique outro motivo,,Refere-se ao motivo pelo qual o paciente foi testado para o patógeno em questão.,Selecione a opção mais adequada que corresponda ao motivo pelo qual o paciente foi testado para o patógeno em questão.
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consentdes,Consentimento,,,
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent,O participante (ou seu representante) deu consentimento para participar deste estudo.,"1, Sim | 0, Não, o participante não concordou em participar do estudo | 2, Não, o comitê de ética aprovou uma isenção de consentimento | 99, Desconhecido",Refere-se ao consentimento informado do paciente ou de seu representante para participação neste estudo.,Indique “Sim” se o paciente ou seu representante forneceu seu consentimento informado para participar deste estudo.
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_date,Data do consentimento,,Refere-se à data em que o consentimento informado foi dado para a inclusão dos participantes neste estudo.,Escreva a data em que o consentimento informado foi dado para a inclusão dos participantes neste estudo. Use o formato DD/MM/AAAA.
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_who,Consentimento fornecido por,"1, Participante | 2, Pai/mãe/responsável | 3, Consultor | 4, Médico independente",Refere-se a quem deu o consentimento para participação neste estudo.,Selecione a opção mais adequada que representa quem forneceu o consentimento para participação neste estudo.
