Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_Recommended Outcomes_Dengue,preset_ARChetype Syndromic CRF_Encephalitis,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Syndromic CRF_VHF,Comment,Value
Achromobacter,91620006.0,SNOMED,bacteria,,,,,,,,,,,,,,1
Achromobacter xylosoxidans,413424009.0,SNOMED,bacteria,,,,,,,,,,,,,,2
Acinetobacter,7757008.0,SNOMED,bacteria,,,,,,,,,,,,,,3
Acinetobacter anitratus,82550008.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,4
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,,,,,,,,,,,,,,5
Acinetobacter calcoaceticus,413398000.0,SNOMED,bacteria,,,,,,,,,,,,,,6
Complexo Acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,,,,,,,,,,,,,,7
Acinetobacter johnsonii,252000.0,SNOMED,bacteria,,,,,,,,,,,,,,8
Acremônio,63996006.0,SNOMED,fungi,,,,,,,,,,,,,,9
Actinomyces israelii,46369004.0,SNOMED,bacteria,,,,,,,,,,,,,,10
Adenoviridae,424470006.0,SNOMED,virus,,,,,,,,1.0,,1.0,,,,11
Aeromonas,88529008.0,SNOMED,bacteria,,,,,,,,,,,,,,12
Agregatibacter,441718002.0,SNOMED,bacteria,,,,,,,,,,,,,,13
Bactérias anaeróbicas,59343002.0,SNOMED,bacteria,,,,,,,,,,,,,,14
Ancilostoma duodenale,81559006.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,15
Ortohantavírus dos Andes,442001008.0,SNOMED,virus,,,,,,,,,,,,,,16
Arenaviridae,243624009.0,SNOMED,virus,,,,,,,,,,,,,,17
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,18
Aspergillus,2429008.0,SNOMED,fungi,,,,,,,,,,1.0,,,,19
Aspergillus flavus,66821001.0,SNOMED,fungi,,,,,,,,,,,,,,20
Aspergillus fumigatus,32684000.0,SNOMED,fungi,,,,,,,,,,,,,,21
Complexo Aspergillus fumigatus,719029007.0,SNOMED,fungi,,,,,,,,,,,,,,22
Aspergillus niger,89354002.0,SNOMED,fungi,,,,,,,,,,,,,,23
Aspergillus terreus,26406003.0,SNOMED,fungi,,,,,,,,,,,,,,24
