Sample_Type,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_VHF,Value
Líquido amniótico,TEMP,TEMP,,,,,,,,,1
BAL (lavagem broncoalveolar),TEMP,TEMP,1.0,1.0,,,,1.0,1.0,1.0,2
Sangue,TEMP,TEMP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3
Leite materno,TEMP,TEMP,,,,,,,,,4
Cotonete bucal,TEMP,TEMP,,,,1.0,1.0,,,1.0,5
LCR (líquido cefalorraquidiano),TEMP,TEMP,,,1.0,1.0,1.0,,,1.0,6
Swab nasal/NP + garganta combinado,TEMP,TEMP,1.0,1.0,,,,1.0,1.0,1.0,7
ETA (aspirado endotraqueal),TEMP,TEMP,1.0,1.0,,,,1.0,1.0,1.0,8
Cotonete,TEMP,TEMP,,,,1.0,1.0,,1.0,,9
Fezes/esfregaço retal,TEMP,TEMP,,,,1.0,1.0,,,,10
Cotonete de lesão/crosta (pele),TEMP,TEMP,,,,1.0,1.0,,,,11
Cotonete nasal/NP,TEMP,TEMP,1.0,1.0,,,,1.0,1.0,1.0,12
Sangue neonatal,TEMP,TEMP,,,1.0,,,,,,13
Sêmen,TEMP,TEMP,,,,1.0,1.0,,,,14
Escarro,TEMP,TEMP,1.0,1.0,,,,1.0,1.0,1.0,15
Amostra de fezes,TEMP,TEMP,,,,,,,,,16
Cotonete de garganta,TEMP,TEMP,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,17
Cotonete uretral,TEMP,TEMP,,,,,,,,,18
Urina,TEMP,TEMP,,,,1.0,1.0,,,,19
Cotonete vaginal,TEMP,TEMP,,,,1.0,1.0,,,,20
