Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_Recommended Outcomes_Dengue,preset_ARChetype Syndromic CRF_Encephalitis,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Syndromic CRF_VHF,Comment,Value
Acromobacter,91620006.0,SNOMED,bacteria,,,,,,,,,,,,,,1
Achromobacter xylosoxidans,413424009.0,SNOMED,bacteria,,,,,,,,,,,,,,2
Acinetobacter,7757008.0,SNOMED,bacteria,,,,,,,,,,,,,,3
Acinetobacter anitratus,82550008.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,4
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,,,,,,,,,,,,,,5
Acinetobacter calcoacético,413398000.0,SNOMED,bacteria,,,,,,,,,,,,,,6
Complejo Acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,,,,,,,,,,,,,,7
Acinetobacter johnsonii,252000.0,SNOMED,bacteria,,,,,,,,,,,,,,8
acremonio,63996006.0,SNOMED,fungi,,,,,,,,,,,,,,9
Actinomyces israelii,46369004.0,SNOMED,bacteria,,,,,,,,,,,,,,10
adenovirus,424470006.0,SNOMED,virus,,,,,,,,1.0,,1.0,,,,11
Aeromonas,88529008.0,SNOMED,bacteria,,,,,,,,,,,,,,12
agregatibacter,441718002.0,SNOMED,bacteria,,,,,,,,,,,,,,13
bacterias anaerobias,59343002.0,SNOMED,bacteria,,,,,,,,,,,,,,14
Ancylostoma duodenal,81559006.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,15
Ortohantavirus de los Andes,442001008.0,SNOMED,virus,,,,,,,,,,,,,,16
Arenaviridae,243624009.0,SNOMED,virus,,,,,,,,,,,,,,17
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,18
Aspergilo,2429008.0,SNOMED,fungi,,,,,,,,,,1.0,,,,19
Aspergillus flavus,66821001.0,SNOMED,fungi,,,,,,,,,,,,,,20
Aspergillus fumigatus,32684000.0,SNOMED,fungi,,,,,,,,,,,,,,21
Complejo Aspergillus fumigatus,719029007.0,SNOMED,fungi,,,,,,,,,,,,,,22
Aspergillus niger,89354002.0,SNOMED,fungi,,,,,,,,,,,,,,23
Aspergillus terreus,26406003.0,SNOMED,fungi,,,,,,,,,,,,,,24
Aspergillus versicolor,48315007.0,SNOMED,fungi,,,,,,,,,,,,,,25
Astroviridae,424055004.0,SNOMED,virus,,,,,,,,,,,,,,26
Influenza aviar A H5N1,772827006.0,SNOMED,virus,,,,,,,,,,,,,,27
Influenza aviar A H7N9,609444009.0,SNOMED,virus,,,,,,,,,,,,,,28
Bacilo,44762009.0,SNOMED,bacteria,,,,,,,,,,,,,,29
Bacilo anthracis,21927003.0,SNOMED,bacteria,,,,,,,,,,,,,,30
bacilo cereus,84408007.0,SNOMED,bacteria,,,,,,,,,,,,,,31
Bacteroides fragilis,55247009.0,SNOMED,bacteria,,,,,,,,,,,,,,32
Bacteroides thetaiotaomicron,34236001.0,SNOMED,bacteria,,,,,,,,,,,,,,33
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",,,,,,,,,,,,,,34
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,,,,,,,,,,,,,,35
Bocavirus (Género),430902006.0,SNOMED,virus,,,,,,,,,,,,,,36
Bordetella pertussis,5247005.0,SNOMED,bacteria,,,,,,,,,,,,,,37
brugia malayo,112443002.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,38
Bunyaviridae (Familia),243615000.0,SNOMED,virus,,,,,,,,,,,,,,39
Burkholderia,414324002.0,SNOMED,bacteria,,,,,,,,,,,,,,40
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,,,,,,,,,,,,,,41
Burkholderia cepacia,113669008.0,SNOMED,bacteria,,,,,,,,,,,,,,42
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,,,,,,,,,,,,,,43
Caliciviridae (Familia),243627002.0,SNOMED,virus,,,,,,,,,,,,,,44
Campilobacter,35408001.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,45
cándida,3265006.0,SNOMED,fungi,,,,,,,,,,1.0,,,,46
Candida albicans,53326005.0,SNOMED,fungi,,,,,,,,,,,,,,47
Candida auris,3490000000000.0,SNOMED,fungi,,,,,,,,,,,,,,48
Candida dubliniensis,115952006.0,SNOMED,fungi,,,,,,,,,,,,,,49
Candida glabrata,444877006.0,SNOMED,fungi,,,,,,,,,,,,,,50
Candida inconspicua,283871001.0,SNOMED,fungi,,,,,,,,,,,,,,51
ortopsilosis por cándida,3690000000000.0,SNOMED,fungi,,,,,,,,,,,,,,52
Candida parapsilosis,61302002.0,SNOMED,fungi,,,,,,,,,,,,,,53
Candida tropicalis,47885008.0,SNOMED,fungi,,,,,,,,,,,,,,54
Clamidia,16241000.0,SNOMED,bacteria,,,,,,,,,,,,,,55
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,,,,,,,,,,,,,,56
Chryseobacterium indologenes,113549008.0,SNOMED,bacteria,,,,,,,,,,,,,,57
citrobacter,75972000.0,SNOMED,bacteria,,,,,,,,,,,,,,58
Citrobacter braakii,114262000.0,SNOMED,bacteria,,,,,,,,,,,,,,59
citrobacter freundii,6265002.0,SNOMED,bacteria,,,,,,,,,,,,,,60
Citrobacter koseri,114264004.0,SNOMED,bacteria,,,,,,,,,,,,,,61
Clavispora lusitaniae,50164000.0,SNOMED,fungi,,,,,,,,,,,,,,62
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,63
clostridio botulínico,13080008.0,SNOMED,bacteria,,,,,,,,,,,,,,64
Clostridium difficile,5933001.0,SNOMED,bacteria,,,,,,,,,,,,,,65
Clostridium difficile (toxina positiva),736050006.0,SNOMED,bacteria,,,,,,,,,,,,,,66
Clostridium tetani,30917009.0,SNOMED,bacteria,,,,,,,,,,,,,,67
Estafilococos coagulasa negativos,116197008.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,68
Coccidioides,8672004.0,SNOMED,fungi,,,,,,,,,,,,,,69
Coccidioides immitis,23439005.0,SNOMED,fungi,,,,,,,,,,,,,,70
Bacterias coliformes,77309002.0,SNOMED,bacteria,,,,,,,,,,,,,,71
Coronaviridae (Familia),243607003.0,SNOMED,virus,,,,,,,,,,,,,,72
corinebacteria,77086004.0,SNOMED,bacteria,,,,,,,,,,,,,,73
Corynebacterium amycolatum,113611002.0,SNOMED,bacteria,,,,,,,,,,,,,,74
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,,,,,,,,,,,,,,75
Corynebacterium pseudotuberculosis,55084001.0,SNOMED,bacteria,,,,,,,,,,,,,,76
Corynebacterium estriado,63815007.0,SNOMED,bacteria,,,,,,,,,,,,,,77
corynebacterium ulcerans,103428000.0,SNOMED,bacteria,,,,,,,,,,,,,,78
Corynebacterium xerosis,27101006.0,SNOMED,bacteria,,,,,,,,,,,,,,79
Virus de la fiebre hemorrágica de Crimea-Congo (FECH),79875007.0,SNOMED,virus,,1.0,,,,,,,,1.0,,,,80
criptococo,17579001.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,81
Criptococo gattii,450862004.0,SNOMED,fungi,,,,,,,,,,,,,,82
Criptococo neoformans,67168003.0,SNOMED,fungi,,,,,,,,,,,,,,84
criptosporidio,83821001.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,85
Criptosporidio hominis,417722006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,86
criptosporidio parvum,51504002.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,87
Curvularia lunata,33165007.0,SNOMED,fungi,,,,,,,,,,,,,,89
ciclospora,103560006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,90
