Disease,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Encephalitis,preset_ARChetype Disease CRF_Chikungunya,Value
adenovirus,,,,,,,,1.0,,,,,,1
Infección por el virus de los Andes (hantavirus),359761005,SNOMED,,,,,,,,,,,,2
Fiebre hemorrágica argentina (virus Junín),58868000,SNOMED,,,,,,,1.0,,,,,3
Influenza aviar A H7N9/ H5N1/ H5N8/ H7N7,NEW CODE (609444009 | Influenza A virus subtype H7N9 (organism) |772827006 | Influenza A virus subtype H5N1 (organism) |715346008 | Influenza A virus subtype H7N7 (organism) |708527000 | Influenza A virus subtype H5N8 (organism) |,,,,,,,1.0,,,,,,4
Infección bacteriana,87628006,SNOMED,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,5
Fiebre hemorrágica boliviana (virus Machupo),67247008,SNOMED,,,,,,,1.0,,,,,6
COVID-19 (SARS-CoV-2),840539006,SNOMED,,1.0,,,,1.0,,,1.0,,,7
Varicela (varicela),58750007,SNOMED,,,,1.0,1.0,,,,,,,8
Fiebre hemorrágica de Crimea Congo (FHEC),43489008,SNOMED,,,,,,,1.0,,,,,9
Dengue,38362002,SNOMED,,,1.0,,,,1.0,1.0,,1.0,,10
Enfermedad por el virus del Ébola (EVE),37109004,SNOMED,,,,,,,1.0,,,,,11
enterovirus,53648006,SNOMED,,,,,,,,,,1.0,,12
Exposición al agente QBRN,,,,,,,,,,,,,,13
Exposición a energía nociva,,,,,,,,,,,,,,14
"Hepatitis (general, no especificada)",40468003,SNOMED,,,1.0,,,,,1.0,,,,16
Infección por el virus del herpes simple (VHS),88594005,SNOMED,,,,1.0,1.0,,,,,1.0,,17
Infección por el virus de la inmunodeficiencia humana (infección por VIH),86406008,SNOMED,,,,1.0,1.0,,,,,,,18
Gripe A H1N1,442352004,SNOMED,,,,,,,,,,,,19
Gripe A H5N1,772827006,SNOMED,,,,,,,,,,,,20
Gripe A H5N8,708527000,SNOMED,,,,,,,,,,,,21
Gripe A H7N7,715346008,SNOMED,,,,,,,,,,,,22
Gripe A H7N9,609444009,SNOMED,,,,,,,,,,,,23
Virus de la gripe A,407479009,SNOMED,,,,,,,,,,,,24
virus de la influenza B,407480007,SNOMED,,,,,,,,,,,,25
virus de la influenza,725894000,SNOMED,,,,,,,,,,,,26
JE,52947006,SNOMED,,,,,,,,,,1.0,,27
Fiebre de Lassa,19065005,SNOMED,,,,,,,1.0,,,,,28
Enfermedad del virus de lujo,721784007,SNOMED,,,,,,,1.0,,,,,29
Enfermedad por el virus de Marburgo (MVD),77503002,SNOMED,,,,,,,1.0,,,,,30
Sarampión,14189004,SNOMED,,,,,,,,,,1.0,,31
Síndrome respiratorio de Oriente Medio (MERS),6.51E+11,SNOMED,,,,,,,,,,,,32
mpox,359814004,SNOMED,1.0,,,1.0,1.0,,,,,,,33
Nipah,406597005,SNOMED,,,,,,,,,,1.0,,34
bolsa de oro,72880002,SNOMED,,,,,,,,1.0,,,,35
Peste neumónica (Yersinia pestis),38976008,SNOMED,,,,,,,,,,,,36
Infección por virus respiratorio sincitial (VRS),55256001,SNOMED,,,,,,,,,,,,37
Hepatitis pediátrica aguda grave,37871000 | Acute hepatitis (disorder) |24484000 | Severe (severity modifier) (qualifier value) |255398004 | Childhood (qualifier value) |,SNOMED,,,,,,,,,,,,38
Síndrome respiratorio agudo severo (SARS-no COVID-19),398447004,SNOMED,,,,,,,,,,,,39
Fiebre severa con síndrome de trombocitopenia (SFTS),722401001,SNOMED,,,,,,,1.0,,,,,40
influenza indefinida,155559006,SNOMED,,,,,,,,,,,,41
Fiebre del Valle del Rift,6142004,SNOMED,,,,,,,1.0,,,,,42
Neumonía adquirida en la comunidad,233604007,SNOMED,,,,,,,,,1.0,,,43
Neumonía adquirida en el hospital,4441000,SNOMED,,,,,,,,,1.0,,,44
Enfermedad similar a la influenza,195662009,SNOMED,,,,,,,,,1.0,,,45
IRA viral,312118003,SNOMED,,,,,,,,,1.0,,,46
Chikungunya,37109004,SNOMED,,,,,,,,1.0,,,1.0,47
Zika,373722009,SNOMED,,,,,,,,1.0,,,,48
Malaria,61462000,SNOMED,,,,,,,1.0,,,,,49
Fiebre hemorrágica del Chapare,716584007,SNOMED,,,,,,,1.0,,,,,50
