Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline
presentation,,subjid,Participant Identification Number (PIN),,The Participant Identification Number or PIN is a unique number used to identify the patient's (participant's) data.,Write the Participant Identification Number (PIN).
presentation,INCLUSION CRITERIA,inclu_disease,"Suspected or confirmed infection, condition, or clinical syndrom",,This refers to any suspected or confirmed infection(s).,"If more than one infection is suspected, select the most likely and complete the PATHOGEN TESTING section with laboratory confirmation."
presentation,INCLUSION CRITERIA,inclu_reason,"Is the suspected or confirmed infection, condition, or clinical syndrome the primary reason for hospital admission?","1, Yes | 0, No | 99, Unknown",This refers to whether suspected or confirmed infection with the pathogen of interest if the reason (indication) for the hospital admission.,Indicate 'Yes' if suspected or confirmed infection with the pathogen of interest if the reason (indication) for the hospital admission. Indicate 'No' if the suspected or confirmed infection with the pathogen of interest is not the reason (indication) for hospital admission.
presentation,INCLUSION CRITERIA,inclu_case,Case classification status,"1, Confirmed | 2, Probable | 3, Suspected | 4, Discarded | 5, Error","Confirmed refers to a case that is laboratory confirmed and may fulfil the clinical criteria as described in the case definition. Probable refers to a clinically compatible illness that is epidemiologically linked to a confirmed case without laboratory confirmation of infection with pathogen of interest. Suspected refers to a clinically compatible illness without epidemiological link or laboratory confirmation. Discarded refers to a patient with a negative laboratory test and has failed to fulfil the criteria for a suspect, probable or confirmed case.",Select the most appropriate option that represents the status of the case.
presentation,INCLUSION CRITERIA,inclu_testreason,Reason for testing,"1, Symptomatic | 2, Asymptomatic, contact-traced | 3, Asymptomatic, mass testing campaign | 4, Not tested | 99, Unknown | 88, Other",This refers to the reason the patient was tested for the pathogen of interest.,Select the most appropriate option which corresponds to the reason the patient was tested for the pathogen of interest.
presentation,INCLUSION CRITERIA,inclu_testreason_otth,Specify other reason,,This refers to the reason the patient was tested for the pathogen of interest.,Select the most appropriate option which corresponds to the reason the patient was tested for the pathogen of interest.
presentation,INCLUSION CRITERIA,inclu_consentdes,Consent:,,,
presentation,INCLUSION CRITERIA,inclu_consent,Participant (or their representative) has provided consent to participate in this study.,"1, Yes | 0, No, participant did not agree to participate in the study | 2, No, the ethics committee approved a waiver of consent | 99, Unknown",This refers to provision of informed consent by the patient or their representative for participation in this study.,Indicate 'Yes' if the patient or their representative has provided their informed consent for participation in this study.
presentation,INCLUSION CRITERIA,inclu_consent_date,Date of consent,,This refers to date on which informed consent was given for the participants inclusion in this study.,Enter the date on which informed consent was given for the participants inclusion in this study. (Use the format DD/MM/YYYY)
presentation,INCLUSION CRITERIA,inclu_consent_who,Consent provided by,"1, Participant | 2, Parent/guardian | 3, Consultee | 4, Independent clinician",This refers to who provided the consent for participation in this study.,Select the most appropriate option that represents who provided the consent for participation in this study.
presentation,INCLUSION CRITERIA,inclu_consent_whopg,Does the child or young person give their assent?,"1, Yes | 0, No | 2, Not competent","This refers to assent given by a minor or adult who is unable to give consent on their own behalf, to participate in a study. Assent must be accompanied by consent from a parent or legal guardian for full participation in the study.",Select the most appropriate option that represents whether assent was provided for participation in this study.
presentation,INCLUSION CRITERIA,inclu_consent2des,"Secondary use of data collected, the participant agreed with the following statements:",,,
presentation,INCLUSION CRITERIA,inclu_consent_secrsch,"Future use of pseudonymised data in ethically approved research, including research in other countries","1, Yes | 0, No",Refers to consent for future secondary use of pseudonymised data in ethically approved research,This is an optional consent question and is not required for completion of the remaining CRF.
presentation,INCLUSION CRITERIA,inclu_consent_secprod,"Future use of pseudonymised data to manufacture tests, treatments or other products, including commercial products","1, Yes | 0, No","Refers to consent for future secondary use of pseudonymised data to manufacture tests, treatments or other products, including commercial products",This is an optional consent question and is not required for completion of the remaining CRF.
presentation,INCLUSION CRITERIA,inclu_consent_secgen,"Future use of pseudonymised genetic data in ethically approved research, including research in other countries","1, Yes | 0, No",Refers to consent for future secondary use of pseudonymised genetic data in ethically approved research,This is an optional consent question and is not required for completion of the remaining CRF.
presentation,INCLUSION CRITERIA,inclu_consentsecsamp,"Secondary use of samples collected, the participant agreed with the following statements:",,,
presentation,INCLUSION CRITERIA,inclu_consent_secsamprsch,"Future use of pseudonymised samples in ethically approved research, including research in other countries","1, Yes | 0, No","Refers to consent for future secondary use of pseudonymised samples in ethically approved research, including research in other countries",This is an optional consent question and is not required for completion of the remaining CRF.
presentation,INCLUSION CRITERIA,inclu_consent_secsampprod,"Future use of pseudonymised samples or materials or data derived from those samples to manufacture tests, treatments or other products, including commercial products","1, Yes | 0, No","Refers to consent for future secondary use of pseudonymised samples or materials or data derived from those samples to manufacture tests, treatments or other products, including commercial products",This is an optional consent question and is not required for completion of the remaining CRF.
presentation,INCLUSION CRITERIA,inclu_consent_secsampgen,"Future use of pseudonymised genetic samples in ethically approved research, including research in other countries","1, Yes | 0, No","Refers to consent for future secondary use of pseudonymised genetic samples in ethically approved research, including research in other countries",This is an optional consent question and is not required for completion of the remaining CRF.
presentation,INCLUSION CRITERIA,inclu_consentcont,Contact,,,
presentation,INCLUSION CRITERIA,inclu_consent_contnstudy,"To be contacted to participate in future work, including research studies","1, Yes | 0, No","Refers to contact to be contacted to participate in future work, including research studies",This is an optional consent question and is not required for completion of the remaining CRF.
presentation,ONSET & PRESENTATION,pres_onsetdate,Onset date of first / earliest symptom,,This refers to the date of onset of the first / earliest symptom which is clinically related to the current episode of illness.,Enter the date of the first symptom that you clinically believe was related to this episode of illness. (Use the format DD/MM/YYYY)
presentation,ONSET & PRESENTATION,pres_symptpres,Symptomatic at initial presentation?,"1, Yes | 0, No | 99, Unknown",This refers to whether the patient was symptomatic at the initial presentation.,"Indicate 'Yes', if the patient was symptomatic at the initial presentation."
presentation,ONSET & PRESENTATION,pres_firstsym,Symptom(s) during first 24 hours of illness (select all that apply),,"This refers to the first symptom, or symptoms (if multiple occurred at the same time), that you clinically believe was related to this episode of illness.",Select all symptoms which the patient experienced during the first 24 hours of illness (select all that apply).
presentation,ONSET & PRESENTATION,pres_consultdate,Date of first clinical consultation,,This refers to the date of first clinical consultation related to the current episode of illness.,Enter the date of first clinical consultation related to the current episode of illness. (Use the format DD/MM/YYYY)
presentation,ONSET & PRESENTATION,pres_date,Most recent presentation/admission date at this facility,,This refers to the date of hospitalisation / admission of the patient to your site for the current illness.,Enter the date of hospitalisation / admission to your site. (Use the format DD/MM/YYYY)
presentation,ONSET & PRESENTATION,pres_adm,Admitted to hospital,"1, Yes | 0, No | 99, Unknown",This refers to admission of the patient to your site for the current illness.,"Indicate 'Yes', if that patient was admitted to your site."
presentation,ONSET & PRESENTATION,pres_adm_reas,Reason for hospitalisation,"1, Infection of interest | 88, Other",This refers to the reason (indication) for hospitalisation.,"If 'Yes', specify the reason (indication) for hospitalisation."
presentation,ONSET & PRESENTATION,pres_adm_reasoth,Specify other reason,,This refers to the reason (indication) for hospitalisation.,"If 'Other', specify the reason (indication) for hospitalisation."
presentation,ONSET & PRESENTATION,pres_adm_time,Time of hospital admission,,This refers to admission of the patient to your site for the current illness.,Enter the time of admission to your site. (Use 24-hour format (00:00 - 24:00 hours))
presentation,ONSET & PRESENTATION,pres_enrolmentdate,Date of enrolment / start of data collection,,This refers to the date of enrolment / start of data collection.,Enter date of patient study enrolment. (Use the format DD/MM/YYYY)
