Site,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Encephalitis,preset_Recommended Outcomes_Dengue,Value
Peau,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1
Pétéchies,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
Nez,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3
Gencives,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,4
Tractus gastro-intestinal,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,5
Voies urinaires,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,6
Vagin,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,7
Intracrânien,,,,,,,,1.0,,,1.0,1.0,8
Intraspinal,,,,,,,,1.0,,,,1.0,9
Intraoculaire,,,,,,,,1.0,,,,1.0,10
Rétropéritonéal,,,,,,,,,,,,1.0,11
Intra-articulaire,,,,,,,,,,,,1.0,12
Péricardique,,,,,,,,1.0,,,1.0,1.0,13
Intramusculaire (avec syndrome des loges),,,,,,,,,,,,1.0,14
Site de cathéter IV,,,,,,,,1.0,,,,,15
