Disease,Code,Library,Selected,preset_ARChetype Syndromic CRF_ARI,Value
Ouvrier d'abattoir,,,1.0,1.0,1
Ouvrier dans une ferme de bovins de boucherie,,,1.0,1.0,2
Ouvrier de ferme laitière,,,1.0,1.0,3
Travailleur de la santé,,,1.0,1.0,4
Ouvrier du marché aux oiseaux vivants,,,,1.0,5
Autre ouvrier du marché d'animaux vivants,,,,1.0,6
Ouvrier de ferme avicole,,,1.0,1.0,7
Abatteur de volailles,,,,1.0,8
Ouvrier des transports publics,,,,,9
Ouvrier d'assainissement,,,,,10
Ouvrier d'élevage porcin,,,,1.0,11
Vétérinaire,,,1.0,1.0,12
