Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Syndromic CRF_Encephalitis,Comment,Value
"Acyclovir (Acyclovir, Zovirax)",J05AB01,ATC,,,,,,,,,,1.0,,1
"Amantadine (Gocovri, Osmolex ER, Symmètrel)",N04BB01,ATC,,,,,,,,1.0,,1.0,,2
Atazanavir (Reyataz),J05AE08,ATC,,,,,,,,,,1.0,,3
Baloxavir marboxil (Xofluza)​,J05AX25,ATC,,,,,,,1.0,1.0,,1.0,,4
Brincidofovir,J05AB17,ATC,1.0,,,,1.0,1.0,,,,1.0,,5
Bulévirtide (Hepcludex),J05AX28,ATC,,,,,,,,,,1.0,,6
Cidofovir (Vistide),J05AB12,ATC,1.0,,,,1.0,1.0,,,,1.0,,7
Darunavir (Prezista),J05AE10,ATC,,,,,,,,,,1.0,,8
Dolutégravir (Tivicay),J05AJ03,ATC,,,,,,,,,,1.0,,9
Éfavirenz (Sustiva),J05AG03,ATC,,,,,,,,,,1.0,,10
Emtricitabine (Emtriva),J05AF09,ATC,,,,,,,,,,1.0,,11
Famciclovir (Famvir),J05AB09,ATC,,,,,,,,,,1.0,,12
Favipiravir (Avigan),J05AX27,ATC,,1.0,,,,,1.0,1.0,1.0,1.0,,13
Fluoxétine,N06AB03,ATC,,,,,,,,,,,,14
Ganciclovir (Cytovene),J05AB06,ATC,,,,,,,,,,1.0,,15
"Lamivudine (Épivir, 3TC)",J05AF05,ATC,,,,,,,,,,,,16
Laninamivir,J05AH04,ATC,,,,,,,1.0,,,,,17
Lopinavir/Ritonavir (Kaletra),J05AR10,ATC,,1.0,,,,,,,,,,18
Molnupiravir (Lagevrio),J05AB18,ATC,,,,,,,,,,,,19
Nirmatrelvir/Rétonavir (Paxlovid),J05AE30,ATC,,,,,,,,,,,,20
Oseltamivir (Tamiflu),J05AH02,ATC,,1.0,,,,,1.0,1.0,,1.0,,21
Penciclovir (Dénavir),J05AB13,ATC,,,,,,,,,,1.0,,22
Péramivir,J05AH03,ATC,,,,,,,1.0,,,,,23
Pléconaril,J05AX06,ATC,,,,,,,,,,,,24
Pocapavir,,,,,,,,,,,,,,25
Raltégravir (Isentress),J05AJ01,ATC,,,,,,,,,,,,26
Remdesivir (Veklury),J05AB16,ATC,,1.0,,,,,,,1.0,1.0,,27
"Ribavirine (Rebetol, Copegus)",J05AP01,ATC,,,,,,,,,1.0,1.0,,28
Rimantadine (Flumadine),J05AC02,ATC,,,,,,,,1.0,,,,29
Técovirimat,J05AX24,ATC,1.0,,,,1.0,1.0,,,,1.0,,30
Ténofovir Disoproxil (Viread),J05AF07,ATC,,,,,,,,,,,,31
Ténofovir alafénamide,J05AF13,ATC,,,,,,,,,,,,32
Umifénovir (Arbidol),J05AX13,ATC,,,,,,,1.0,1.0,,,,33
Valaciclovir (Valtrex),J05AB11,ATC,,,,,,,,,,1.0,,34
Valganciclovir (Valcyte),J05AB14,ATC,,,,,,,,,,1.0,,35
Zalcitabine,J05AF03,ATC,,,,,,,,,,,,36
Zanamivir (Relenza),J05AH01,ATC,,1.0,,,,,1.0,1.0,,,,37
"Zidovudine (Rétrovir, AZT)",J05AF01,ATC,,,,,,,,,,,,38
