Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_Recommended Outcomes_Dengue,preset_ARChetype Syndromic CRF_Encephalitis,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Syndromic CRF_VHF,Comment,Value
Achromobactérie,91620006.0,SNOMED,bacteria,,,,,,,,,,,,,,1
Achromobacter xylosoxydans,413424009.0,SNOMED,bacteria,,,,,,,,,,,,,,2
Acinétobactérie,7757008.0,SNOMED,bacteria,,,,,,,,,,,,,,3
Acinetobacter anitratus,82550008.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,4
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,,,,,,,,,,,,,,5
Acinetobacter calcoaceticus,413398000.0,SNOMED,bacteria,,,,,,,,,,,,,,6
Complexe Acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,,,,,,,,,,,,,,7
Acinetobacter johnsonii,252000.0,SNOMED,bacteria,,,,,,,,,,,,,,8
Acrémonium,63996006.0,SNOMED,fungi,,,,,,,,,,,,,,9
Actinomyces israélien,46369004.0,SNOMED,bacteria,,,,,,,,,,,,,,10
Adénoviridés,424470006.0,SNOMED,virus,,,,,,,,1.0,,1.0,,,,11
Aéromonas,88529008.0,SNOMED,bacteria,,,,,,,,,,,,,,12
Agrégatibactérie,441718002.0,SNOMED,bacteria,,,,,,,,,,,,,,13
Bactéries anaérobies,59343002.0,SNOMED,bacteria,,,,,,,,,,,,,,14
Ancylostome duodénal,81559006.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,15
Orthohantavirus des Andes,442001008.0,SNOMED,virus,,,,,,,,,,,,,,16
Arénaviridés,243624009.0,SNOMED,virus,,,,,,,,,,,,,,17
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,18
Aspergille,2429008.0,SNOMED,fungi,,,,,,,,,,1.0,,,,19
Aspergillus flavus,66821001.0,SNOMED,fungi,,,,,,,,,,,,,,20
Aspergillus fumigatus,32684000.0,SNOMED,fungi,,,,,,,,,,,,,,21
Complexe Aspergillus fumigatus,719029007.0,SNOMED,fungi,,,,,,,,,,,,,,22
Aspergillus niger,89354002.0,SNOMED,fungi,,,,,,,,,,,,,,23
Aspergillus terreus,26406003.0,SNOMED,fungi,,,,,,,,,,,,,,24
Aspergillus versicolor,48315007.0,SNOMED,fungi,,,,,,,,,,,,,,25
Astroviridés,424055004.0,SNOMED,virus,,,,,,,,,,,,,,26
Grippe aviaire A H5N1,772827006.0,SNOMED,virus,,,,,,,,,,,,,,27
Grippe aviaire A H7N9,609444009.0,SNOMED,virus,,,,,,,,,,,,,,28
Bacille,44762009.0,SNOMED,bacteria,,,,,,,,,,,,,,29
Bacille anthracis,21927003.0,SNOMED,bacteria,,,,,,,,,,,,,,30
Bacillus cereus,84408007.0,SNOMED,bacteria,,,,,,,,,,,,,,31
Bacteroides fragilis,55247009.0,SNOMED,bacteria,,,,,,,,,,,,,,32
Bacteroides thetaiotaomicron,34236001.0,SNOMED,bacteria,,,,,,,,,,,,,,33
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",,,,,,,,,,,,,,34
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,,,,,,,,,,,,,,35
Bocavirus (genre),430902006.0,SNOMED,virus,,,,,,,,,,,,,,36
Bordetella coqueluche,5247005.0,SNOMED,bacteria,,,,,,,,,,,,,,37
Brugia malais,112443002.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,38
