Microorganism,Code,Library,Type,Value,Selected
Acrémonium,63996006.0,SNOMED,fungi,1,1
Adénoviridés,424470006.0,SNOMED,virus,2,1
Ancylostome duodénal,81559006.0,SNOMED,"parasite, helminth",3,1
Orthohantavirus des Andes,442001008.0,SNOMED,virus,4,1
Arénaviridés,243624009.0,SNOMED,virus,5,1
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",6,1
Aspergille,2429008.0,SNOMED,fungi,7,1
Aspergillus flavus,66821001.0,SNOMED,fungi,8,1
Aspergillus fumigatus,32684000.0,SNOMED,fungi,9,1
Complexe Aspergillus fumigatus,719029007.0,SNOMED,fungi,10,1
Aspergillus niger,89354002.0,SNOMED,fungi,11,1
Aspergillus terreus,26406003.0,SNOMED,fungi,12,1
Aspergillus versicolor,48315007.0,SNOMED,fungi,13,1
Astroviridés,424055004.0,SNOMED,virus,14,1
Grippe aviaire A H5N1,772827006.0,SNOMED,virus,15,1
Grippe aviaire A H7N9,609444009.0,SNOMED,virus,16,1
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",17,1
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,18,1
Bocavirus (genre),430902006.0,SNOMED,virus,19,1
Brugia malais,112443002.0,SNOMED,"parasite, helminth",20,1
Bunyaviridae (famille),243615000.0,SNOMED,virus,21,1
Caliciviridae (famille),243627002.0,SNOMED,virus,22,1
Candidose,3265006.0,SNOMED,fungi,23,1
Candida albicans,53326005.0,SNOMED,fungi,24,1
Candida auris,3490000000000.0,SNOMED,fungi,25,1
Candida dubliniensis,115952006.0,SNOMED,fungi,26,1
Candida glabrata,444877006.0,SNOMED,fungi,27,1
Candida inconspicua,283871001.0,SNOMED,fungi,28,1
Orthopsilose à Candida,3690000000000.0,SNOMED,fungi,29,1
Parapsilose à Candida,61302002.0,SNOMED,fungi,30,1
Candida tropicale,47885008.0,SNOMED,fungi,31,1
Clavispora lusitaniae,50164000.0,SNOMED,fungi,32,1
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",33,1
Coccidioides,8672004.0,SNOMED,fungi,34,1
Coccidioides immitis,23439005.0,SNOMED,fungi,35,1
Coronaviridae (famille),243607003.0,SNOMED,virus,36,1
Virus de la fièvre hémorragique de Crimée-Congo (CCHF),79875007.0,SNOMED,virus,37,1
Cryptococcus gattii,450862004.0,SNOMED,fungi,38,1
Cryptococcus néoformans,67168003.0,SNOMED,fungi,39,1
Cryptosporidium,83821001.0,SNOMED,"parasite, protozoa",40,1
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",41,1
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",42,1
Curvulaire lunaire,33165007.0,SNOMED,fungi,43,1
Cyclospora,103560006.0,SNOMED,"parasite, protozoa",44,1
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",45,1
Cytomégalovirus,407444007.0,SNOMED,virus,46,1
Deltavirus,83617006.0,SNOMED,virus,47,1
Virus de la dengue,34348001.0,SNOMED,virus,48,1
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",49,1
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",50,1
Virus Ebola,424206003.0,SNOMED,virus,51,1
Échinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",52,1
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",53,1
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",54,1
Entamoeba histolytique,4716008.0,SNOMED,"parasite, protozoa",55,1
Enterobius vermiculaire,55008000.0,SNOMED,"parasite, helminth",56,1
Entérovirus (genre Enterovirus),243633006.0,SNOMED,virus,57,1
Épidermophyton,112403007.0,SNOMED,fungi,58,1
Exophiala dermatitidis,20586007.0,SNOMED,fungi,59,1
Falciformispora senegalensis (anciennement Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,60,1
Filoviridae (famille),407325004.0,SNOMED,virus,61,1
Flaviviridés (famille),243602009.0,SNOMED,virus,62,1
Champignons,414561005.0,SNOMED,fungi,63,1
Fusarium,35238009.0,SNOMED,fungi,64,1
Genre Marburgvirus,424421007.0,SNOMED,virus,65,1
Giardia,61419001.0,SNOMED,"parasite, protozoa",66,1
Giardia intestinale,78181009.0,SNOMED,"parasite, protozoa",67,1
Giardia lamblia,78181009.0,SNOMED,"parasite, protozoa",68,1
Hantavirus,49445003.0,SNOMED,virus,69,1
Virus Hendra,115510008.0,SNOMED,virus,70,1
Hépadnaviridae,422951006.0,SNOMED,virus,71,1
Virus de l'hépatite A,32452004.0,SNOMED,virus,72,1
Virus de l'hépatite B,81665004.0,SNOMED,virus,73,1
Virus de l'hépatite C,62944002.0,SNOMED,virus,74,1
Hépatite D,83617006.0,SNOMED,virus,75,1
Virus de l'hépatite E,78475006.0,SNOMED,virus,76,1
Herpèsviridés,128377001.0,SNOMED,virus,77,1
Histoplasma,81951003.0,SNOMED,fungi,78,1
Histoplasma capsulatum,56596006.0,SNOMED,fungi,79,1
"Herpèsvirus humain 1 (HHV1, Herpes simplex virus 1, HSV1)",407451003.0,SNOMED,virus,80,1
"Herpèsvirus humain 2 (HHV2, Herpes Simplex virus 2, HSV2)",407450002.0,SNOMED,virus,81,1
"Herpèsvirus humain 3 (virus varicelle-zona, VZV)",19551004.0,SNOMED,virus,82,1
"Herpèsvirus humain 4 (virus Epstein-Barr, EBV)",40168006.0,SNOMED,virus,83,1
"Herpèsvirus humain 5 (Cytomégalovirus humanbeta5, hCMV)",243579005.0,SNOMED,virus,84,1
Herpèsvirus humain 6 (virus de la roseola infantum),103528003.0,SNOMED,virus,85,1
