Site,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Encephalitis,preset_Recommended Outcomes_Dengue,Value
Pele,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1
Petéquias,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
Nariz,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3
Gengivas,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,4
Trato GI,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,5
Trato urinário,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,6
Vagina,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,7
Intracraniano,,,,,,,,1.0,,,1.0,1.0,8
Intraespinhal,,,,,,,,1.0,,,,1.0,9
Intraocular,,,,,,,,1.0,,,,1.0,10
Retroperitoneal,,,,,,,,,,,,1.0,11
Intra-articular,,,,,,,,,,,,1.0,12
Pericárdico,,,,,,,,1.0,,,1.0,1.0,13
Intramuscular (com síndrome compartimental),,,,,,,,,,,,1.0,14
Local do cateter intravenoso,,,,,,,,1.0,,,,,15
