Disease,Code,Library,Selected,preset_ARChetype Syndromic CRF_ARI,Value
Trabalhador de matadouro,,,1.0,1.0,1
Trabalhador de fazenda de gado de corte,,,1.0,1.0,2
Trabalhador de fazenda leiteira,,,1.0,1.0,3
Profissional de saúde,,,1.0,1.0,4
Trabalhador do mercado de aves vivas,,,,1.0,5
Outro trabalhador do mercado de animais vivos,,,,1.0,6
Trabalhador de avicultura,,,1.0,1.0,7
Abatedor de aves,,,,1.0,8
Trabalhador de transporte público,,,,,9
Trabalhador de saneamento,,,,,10
Trabalhador de fazenda de suínos,,,,1.0,11
Veterinário,,,1.0,1.0,12
