Drugs,Code, Library,Selected,Comment,Value
"0,18%-0,3% de cloreto de sódio + 4% de glicose (solução salina hipotônica com dextrose)",,,1,,1
"Cloreto de sódio a 0,45% (solução salina meio normal)",,,1,,2
"Solução salina normal 0,45% + glicose 4% (solução salina meio normal com dextrose)",,,1,,3
"Cloreto de Sódio 0,9% (Solução Salina Normal)",,,1,,4
5% de glicose (Dextrose 5% em água),,,1,,5
Albumina,,,1,,6
Gelatinas,,,1,,7
Ringers com lactato (USP),,,1,,8
Plasmalito,,,1,,9
Acetato de campainhas,,,1,,10
Amidos,,,1,,11
