Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Syndromic CRF_Encephalitis,Value
Analgésico,373265006 |Analgesic (substance)|,SNOMED,1.0,,1.0,,,1.0,1.0,1.0,1
Antibiótico,255631004 |Antibiotic (product)|,SNOMED,1.0,1.0,,1.0,1.0,,1.0,1.0,2
Anticoagulante,372862008 |Anticoagulant (substance)|,SNOMED,,1.0,,1.0,,1.0,,,3
Antifúngico,373219008 |Substance with antifungal mechanism of action (substance)|,SNOMED,1.0,1.0,,1.0,,,,1.0,4
Anti-histamínico,6425004 |Product containing histamine receptor antagonist (product)|,SNOMED,,,,,,,,,5
Antiprotozoário,788027008 |Medicinal product acting as antiprotozoal agent (product)|,SNOMED,,,,,,,,,6
Antipruriginoso,312067003 |Local antipruritic agent (product)|,SNOMED,1.0,,,,,,,,7
Antiviral,372701006,SNOMED,1.0,1.0,1.0,1.0,,,1.0,1.0,8
Plasma convalescente,1179779000,SNOMED,,,,,,,,,9
Corticosteroide,116566001,SNOMED,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10
Diuréticos,372695000,SNOMED,,,,,,,,,11
Imunomodulador,372558009,SNOMED,,,1.0,,,,,,12
Medicamentos imunossupressores (não esteróides),69431002,SNOMED,,,1.0,,,,,,13
Inotrópicos / vasopressores,373213009 |Inotropic agent (substance)|870406003 |Vasopressor (substance)|,SNOMED,,1.0,,1.0,,,1.0,1.0,14
Imunoglobulina intravenosa,698802001,SNOMED,,,1.0,,,,,,15
Antibiótico tópico,255631004 |Antibiotic (product)| 6064005 |Topical route (qualifier value)|,SNOMED,1.0,,,,,,1.0,,16
Anestésico local,,,,,,,,1.0,,,17
Antidepressivos e Ansiolíticos,,,,,,,,1.0,,,18
Antiepilépticos,,,,,,,,1.0,,,19
Antifibrinolítico,,,,,,,,,1.0,,20
Antimalárico,,,,,,,,,1.0,,21
