Microorganism,Code,Library,Type,Value,Selected
Acremônio,63996006.0,SNOMED,fungi,1,1
Adenoviridae,424470006.0,SNOMED,virus,2,1
Ancilostoma duodenale,81559006.0,SNOMED,"parasite, helminth",3,1
Ortohantavírus dos Andes,442001008.0,SNOMED,virus,4,1
Arenaviridae,243624009.0,SNOMED,virus,5,1
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",6,1
Aspergillus,2429008.0,SNOMED,fungi,7,1
Aspergillus flavus,66821001.0,SNOMED,fungi,8,1
Aspergillus fumigatus,32684000.0,SNOMED,fungi,9,1
Complexo Aspergillus fumigatus,719029007.0,SNOMED,fungi,10,1
Aspergillus niger,89354002.0,SNOMED,fungi,11,1
Aspergillus terreus,26406003.0,SNOMED,fungi,12,1
Aspergillus versicolor,48315007.0,SNOMED,fungi,13,1
Astroviridae,424055004.0,SNOMED,virus,14,1
Gripe Aviária A H5N1,772827006.0,SNOMED,virus,15,1
Gripe Aviária A H7N9,609444009.0,SNOMED,virus,16,1
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",17,1
Blastomyces dermatitedis,65615007.0,SNOMED,fungi,18,1
Bocavírus (gênero),430902006.0,SNOMED,virus,19,1
Brugia malayi,112443002.0,SNOMED,"parasite, helminth",20,1
Bunyaviridae (família),243615000.0,SNOMED,virus,21,1
Caliciviridae (família),243627002.0,SNOMED,virus,22,1
Cândida,3265006.0,SNOMED,fungi,23,1
Candida albicans,53326005.0,SNOMED,fungi,24,1
Candida auris,3490000000000.0,SNOMED,fungi,25,1
Candida dubliniensis,115952006.0,SNOMED,fungi,26,1
Candida glabrata,444877006.0,SNOMED,fungi,27,1
Candida imperceptível,283871001.0,SNOMED,fungi,28,1
Candida ortopsilose,3690000000000.0,SNOMED,fungi,29,1
Candida parapsilosis,61302002.0,SNOMED,fungi,30,1
Candida tropicalis,47885008.0,SNOMED,fungi,31,1
Clavispora lusitaniae,50164000.0,SNOMED,fungi,32,1
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",33,1
Coccidioides,8672004.0,SNOMED,fungi,34,1
Coccidioides immitis,23439005.0,SNOMED,fungi,35,1
Coronaviridae (família),243607003.0,SNOMED,virus,36,1
Vírus da Febre Hemorrágica da Crimeia-Congo (CCHF),79875007.0,SNOMED,virus,37,1
Criptococcus gattii,450862004.0,SNOMED,fungi,38,1
Cryptococcus neoformans,67168003.0,SNOMED,fungi,39,1
Cryptosporidium,83821001.0,SNOMED,"parasite, protozoa",40,1
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",41,1
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",42,1
Curvularia lunata,33165007.0,SNOMED,fungi,43,1
Ciclospora,103560006.0,SNOMED,"parasite, protozoa",44,1
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",45,1
Citomegalovírus,407444007.0,SNOMED,virus,46,1
Deltavírus,83617006.0,SNOMED,virus,47,1
Vírus da dengue,34348001.0,SNOMED,virus,48,1
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",49,1
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",50,1
