Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Syndromic CRF_Encephalitis,Comment,Value
"Amikacina (Amikin, Biodacin, Miacin)",J01GB06,ATC,1.0,,,,,,,,,,,1
"Amoxicilina (Amoxil, Moxatag, Trimox)",J01CA04,ATC,1.0,1.0,,,,,1.0,,,,,2
"Amoxicilina/Inhibidor de beta-lactamasa (Amoxicilina/clavulanato, Amoxicilina y ácido clavulánico, Augmentin, Amoxyclav, Co-amoxiclav)",J01CR02,ATC,1.0,1.0,,,,,1.0,,,,,3
"Anfotericina (Anfotericina B, Anfocina, Fungizona, Fungilina)",J02AA01,ATC,,,,,,,,,,,,4
Ampicilina (Polyflex),J01CA01,ATC,1.0,,,,,,,,,1.0,,5
"Ampicilina/inhibidor de beta-lactamasa (ampicilina/sulbactam, sulacilina, unasyn)",J01CR01,ATC,1.0,,,,,,,,,,,6
"Atovacuona (Mepron, Wellvone)",P01AX06,ATC,,,,,,,,,,,,7
"Azitromicina (Sumamed, Zithromax, Zmax)",J01FA10,ATC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,8
"Aztreonam (Azactam, Cayston, Primbactam)",J01DF01,ATC,,,,,,,,,,,,9
"Bacampicilina (Penglobe, Spectrobid)",J01CA06,ATC,,,,,,,,,,,,10
Bacitracina (baciguente),J01XX10,ATC,,,,,,,,,,,,11
Fenoximetilpenicilina benzatina (Penicilina V),J01CE10,ATC,,,,,,,,,,,,12
"Bencilpenicilina (Penicilina G, Bactracilina G,)",J01CE01,ATC,1.0,,,,,,,,,,,13
Capreomicina (Capastat),J04AB30,ATC,,,,,,,,,,,,14
"Carbenicilina indanilo sódico (Anabactyl, Carbapen, Carindacilina, Pyopen)",J01CA05,ATC,,,,,,,,,,,,15
Caspofungina (Cancidas),J02AX04,ATC,,,,,,,,,,,,16
"Cefaclor (Biocef, Ceclor, Raniclor)",J01DC04,ATC,,,,,,,,,,,,17
Cefadroxilo (Duricef),J01DB05,ATC,,,,,,,,,,,,18
"Cefalexina (Cefalexina, Keflex, Daxbia)",J01DB01,ATC,1.0,,,,,,,,,,,19
Cefamandol (Mandol),J01DC03,ATC,,,,,,,,,,,,20
"Cefazolina (Ancef, Kefzol)",J01DB04,ATC,1.0,,,,,,,,,,,21
"Cefdinir (Cefzon, Omnicef)",J01DD15,ATC,,,,,,,,,,,,22
Cefditoren (Spectracef),J01DD16,ATC,,,,,,,,,,,,23
Cefepima (Maxipima),J01DE01,ATC,1.0,,,,,,,,,1.0,,24
Cefixima (Suprax),J01DD08,ATC,,,,,,,,,,,,25
Cefmetazol (Zefazona),J01DC09,ATC,,,,,,,,,,,,26
Cefoperazona (Cefobid),J01DD12,ATC,,,,,,,,,,,,27
Cefotaxima (Claforan),J01DD01,ATC,1.0,,,,,,,,,1.0,,28
Cefotetán (Cefotan),J01DC05,ATC,,,,,,,,,,,,29
"Cefoxitina (Mefoxina, Renoxitina)",J01DC01,ATC,,,,,,,,,,,,30
Cefpodoxima proxetil (Vantin),J01DD13,ATC,,,,,,,,,,,,31
"Cefprozil (Cefproxil, Cefproz, Cefzil)",J01DC10,ATC,,,,,,,,,,,,32
"Ceftarolina Fosamil (Teflaro, Zinforo)",J01DI02,ATC,1.0,,,,,,,,,,,33
"Ceftazidima (Fortaz, Tazicef)",J01DD02,ATC,1.0,,,,,,,,,1.0,,34
"Ceftazidima/inhibidor de beta-lactamasa (ceftazidima/avibactam, Avycaz, Zavicefta)",J01DD52,ATC,,,,,,,,,,,,35
Ceftibuteno (Cedax),J01DD14,ATC,,,,,,,,,,,,36
Ceftizoxima (Cefizox),J01DD07,ATC,,,,,,,,,,,,37
Ceftobiprol Medocaril (Zeftera),J01DI01,ATC,1.0,,,,,,,,,,,38
"Ceftriaxona (Rocephin, Wintriaxona)",J01DD04,ATC,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,39
"Cefuroxima (Ceftin, Zinacef)",J01DC02,ATC,1.0,,,,,,,,,,,40
"Cefalexina (Cefalexina, Keflex, Daxbia)",J01DB01,ATC,,,,,,,,,,,,41
"Cefalotina (Cefalotina,",J01DB03,ATC,,,,,,,,,,,,42
"Cefapirina (cefapirina,",J01DB08,ATC,,,,,,,,,,,,43
"Cefradina (Cefradina, Velosef)",J01DB09,ATC,,,,,,,,,,,,44
"Cloranfenicol (cloromicetina, Viceton)",J01BA01,ATC,,,,,,,,,,,,45
Cinoxacina (Cinobac),J01MB06,ATC,,,,,,,,,,,,46
"Ciprofloxacina (Cetraxal, Cipro, Ciloxan, Proquin)",J01MA02,ATC,1.0,,,,,,,,,,,47
"Claritromicina (Biaxin, Klacid)",J01FA09,ATC,1.0,,,,,,,,,,,48
"Clindamicina (Cleocin, Dalacin)",J01FF01,ATC,1.0,,,,,,,,,,,49
"Cloxacilina (Tegopen, Cloxapen)",J01CF02,ATC,,,,,,,,,,,,50
"Colistina (colistimetato, Coly Mycin M, Colobreathe, Xylistin)",J01XB01,ATC,,,,,,,,,,,,51
Cicloserina (seromicina),J04AB01,ATC,,,,,,,,,,,,52
"Daptomicina (Dapzura, Cubicin)",J01XX09,ATC,,,,,,,,,,,,53
Demeclociclina (Declomicina),J01AA01,ATC,,,,,,,,,,,,54
"Dicloxacilina (Diclocil, Dycill, Dynapen)",J01CF01,ATC,,,,,,,,,,,,55
Diritromicina (Dynabac),J01FA13,ATC,,,,,,,,,,,,56
"Doripenem (Doribax, Finibax)",J01DH04,ATC,,,,,,,,,,,,57
"Doxiciclina (Vibramicina, Oracea, Monodox)",J01AA02,ATC,1.0,1.0,,1.0,1.0,,,,,,,58
Enoxacina,J01MA04,ATC,,,,,,,,,,,,59
Ertapenem (Invanz),J01DH03,ATC,1.0,,,,,,,,,,,60
"Eritromicina (Eryc, Eritrocina)",J01FA01,ATC,1.0,,,,,,,,,,,61
etambutol,J04AK02,ATC,,,,,,,,,,,,62
"Flucloxacilina (Floxapen, Fluclox)",J01CF05,ATC,1.0,,,,,,,,,,,63
Fluconazol (Diflucan),J02AC01,ATC,1.0,,,,,,,,,,,64
Fosfomicina (Monurol),J01XX01,ATC,1.0,,,,,,,,,,,65
ácido fusídico,J01XC01,ATC,,,,,,,,,,,,66
Gatifloxacina (Tequin),J01MA16,ATC,,,,,,,,,,,,67
Gemifloxacina (factiva),J01MA15,ATC,,,,,,,,,,,,68
"Gentamicina (Garamycin, Gentak, Genoptic)",J01GB03,ATC,1.0,,,,,,,,,,,69
grepafloxacina,J01MA11,ATC,,,,,,,,,,,,70
Imipenem/Cilastatina (Primaxin),J01DH51,ATC,1.0,,,,,,,,,1.0,,71
"Isoniazida (Nydrazid, Laniazida)",J04AC01,ATC,1.0,,,,,,,,,,,72
Kanamicina (Kantrex),J01GB04,ATC,,,,,,,,,,,,73
"Levofloxacina (Levaquin, Levxin, Tavanic)",J01MA12,ATC,1.0,,,,,1.0,1.0,,,,,74
