Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Encephalitis,preset_ARChetype Syndromic CRF_VHF,Value
"Ácido acetilsalicílico (aspirina, ascriptina, ecotrina)",N02BA01, ATC,1.0,1.0,1.0,1.0,1.0,1.0,1
Celecoxib (Celebrex), M01AH01, ATC,1.0,1.0,1.0,1.0,1.0,1.0,2
"Diclofenaco (Voltaren, Cataflam)", M01AB05, ATC,1.0,1.0,1.0,1.0,1.0,1.0,3
Etoricoxib (Arcoxia), M01AH05, ATC,,,,,,,4
"Flurbiprofeno (Ansaid, Ocufen)", M01AE09, ATC,,,,,1.0,,5
"Ibuprofeno (Advil, Motrin)", M01AE01, ATC,1.0,1.0,1.0,1.0,1.0,1.0,6
Indometacina (Indocina), M01AB01, ATC,1.0,1.0,1.0,1.0,1.0,1.0,7
"Ketoprofeno (Orudis, Oruvail)", M01AE03, ATC,,,,,,,8
Ketorolaco (Toradol), M01AB15, ATC,,,,,,,9
Ácido mefenámico (Ponstel), M01AG01, ATC,,,,,1.0,,10
Meloxicam (Mobic), M01AC06, ATC,,,,,,,11
Nabumetona (Relafen), M01AX01, ATC,,,,,,,12
"Naproxeno (Aleve, Naprosyn)", M01AE02, ATC,1.0,1.0,1.0,1.0,1.0,,13
Piroxicam (Feldene), M01AC01, ATC,,,,,,,14
Sulindac (Clinoril), M01AB02, ATC,,,,,,,15
