Sample_Type,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_VHF,Value
liquido amniótico,TEMP,TEMP,,,,,,,,,1
BAL (Lavado Broncoalveolar),TEMP,TEMP,1.0,1.0,,,,1.0,1.0,1.0,2
Sangre,TEMP,TEMP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3
leche materna,TEMP,TEMP,,,,,,,,,4
hisopo bucal,TEMP,TEMP,,,,1.0,1.0,,,1.0,5
LCR (líquido cefalorraquídeo),TEMP,TEMP,,,1.0,1.0,1.0,,,1.0,6
Hisopado nasal/NP + faríngeo combinado,TEMP,TEMP,1.0,1.0,,,,1.0,1.0,1.0,7
ETA (aspirado endotraqueal),TEMP,TEMP,1.0,1.0,,,,1.0,1.0,1.0,8
hisopo de ojos,TEMP,TEMP,,,,1.0,1.0,,1.0,,9
Heces/hisopo rectal,TEMP,TEMP,,,,1.0,1.0,,,,10
Hisopo de lesión/costra (piel),TEMP,TEMP,,,,1.0,1.0,,,,11
Hisopo nasal/NP,TEMP,TEMP,1.0,1.0,,,,1.0,1.0,1.0,12
sangre neonatal,TEMP,TEMP,,,1.0,,,,,,13
Semen,TEMP,TEMP,,,,1.0,1.0,,,,14
Esputo,TEMP,TEMP,1.0,1.0,,,,1.0,1.0,1.0,15
Muestra de heces,TEMP,TEMP,,,,,,,,,16
hisopo de garganta,TEMP,TEMP,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,17
hisopo uretral,TEMP,TEMP,,,,,,,,,18
Orina,TEMP,TEMP,,,,1.0,1.0,,,,19
hisopo vaginal,TEMP,TEMP,,,,1.0,1.0,,,,20
