Condition,Code,Library,Code_2,Library_2,Selected,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,Value
Douleur abdominale,R10.9,ICD10,21522001,SNOMED,,,,1
Perte de poids anormale,R63.4,ICD10,267024001,SNOMED,,,,2
Alopécie (chute de cheveux sans cicatrice),L65.9,ICD10,56317004,SNOMED,,,,3
Conscience altérée / Confusion (Désorientation),R41.0,ICD10,62476001 |Disorientated (finding)|,SNOMED,,,,4
Anorexie,R63.0,ICD10,79890006,SNOMED,,,,5
Apnée,R06.81,ICD10,1023001,SNOMED,,,,6
Ascite,R18.8,ICD10,389026000,SNOMED,,,,7
Saignement (hémorragie),R58,ICD10,131148009,SNOMED,,,,8
Ecchymoses (ecchymoses spontanées),R23.3,ICD10,308492005,SNOMED,,,,9
Impossible de sentir un côté du corps ou du visage (hémiplégie),I69.959,ICD10,20022000,SNOMED,,,,10
Impossible de bouger ou de contrôler complètement les mouvements (syndrome paralytique),G83.9,ICD10,44695005,SNOMED,,,,11
Arythmie cardiaque,I49.9,ICD10,698247007,SNOMED,,,,12
Modifications des menstruations (menstruations irrégulières),N92.6,ICD10,80182007,SNOMED,,,,13
Modifications de la texture de la peau,R23.4,ICD10,274672009,SNOMED,,,,14
Douleur thoracique,R07.9,ICD10,29857009,SNOMED,,,,15
Douleur thoracique en respirant,R07.1,ICD10,274664007,SNOMED,,,1.0,16
Frissons (sans fièvre),R68.83,ICD10,43724002,SNOMED,,,,17
Déficience cognitive (déficience intellectuelle non précisée),F79,ICD10,386806002,SNOMED,,,,18
Conjonctivite,H10.9,ICD10,9826008,SNOMED,,,,19
Constipation,K59.0,ICD10,14760008,SNOMED,,,,20
Convulsions,R56.9,ICD10,91175000,SNOMED,,,,21
Toux,R05,ICD10,49727002,SNOMED,,,1.0,22
Diarrhée,R19.7,ICD10,267060006,SNOMED,,,,23
Difficulté à manger ou à boire (dysphagie),R13.10,ICD10,40739000,SNOMED,,,,24
Difficulté à marcher,R26.2,ICD10,719232003,SNOMED,,,,25
Troubles du nez et des sinus nasaux,J34,ICD10,89488007,SNOMED,,,,26
Perturbation de l'attention (altération de l'état mental),R41.82,ICD10,419284004,SNOMED,,,,27
Étourdissements/étourdissements (Étourdissements et vertiges),R42,ICD10,271789005,SNOMED,,,,28
Peau sèche (Xerose cutis),L85.3,ICD10,52475004,SNOMED,,,,29
Douleur à l'oreille (Otalgie),H92.0,ICD10,301354004,SNOMED,,,,30
Dysfonction érectile,N52.9,ICD10,860914002,SNOMED,,,,31
Évanouissements / évanouissements (syncope et collapsus),R55,ICD10,309585006,SNOMED,,,,32
Incontinence fécale,R15,ICD10,72042002,SNOMED,,,,33
Difficulté d'alimentation,R63.3,ICD10,78164000,SNOMED,,,,34
Fièvre,R50.9,ICD10,386661006,SNOMED,1.0,1.0,1.0,35
Saignement gastro-intestinal (Hémorragie gastro-intestinale),K92.2,ICD10,74474003,SNOMED,,,,36
Mal de tête,R51,ICD10,25064002,SNOMED,,,,37
Hépatomégalie,R16.0,ICD10,80515008,SNOMED,,,,38
Soif accrue (Polydipsie),R63.1,ICD10,249477003,SNOMED,,,,39
Augmentation de la miction (polyurie),R35.8,ICD10,28442001,SNOMED,,,,40
Irritabilité,R45.4,ICD10,55929007,SNOMED,,,,41
Oeil qui démange,H57.8,ICD10,74776002,SNOMED,,,,42
Jaunisse,R17,ICD10,18165001,SNOMED,,,,43
Douleurs articulaires (Arthralgie),M25.5,ICD10,57676002,SNOMED,,,,44
Kératite,H16.9,ICD10,5888003,SNOMED,,,,45
Faiblesse/paralysie des membres (monoplégie),G83.3,ICD10,713514005,SNOMED,,,,46
Œdème localisé,R60.0,ICD10,274724004,SNOMED,,,,47
Perte d'appétit (Anorexie),R63.0,ICD10,79890006,SNOMED,,,,48
Perte de l'odorat (Anosmie),R43.0,ICD10,44169009,SNOMED,,,,49
Perte du goût (Parageusia),R43.2,ICD10,271801002,SNOMED,,,,50
Lymphadénite,I88,ICD10,19471005,SNOMED,,,,51
Malaise et fatigue,R53,ICD10,271795006,SNOMED,,,,52
Ulcères buccaux (aphtes buccaux récurrents),K12.0,ICD10,26284000,SNOMED,,,,53
Lésion muqueuse,,,427752005,SNOMED,1.0,1.0,,54
Douleurs musculaires (myalgie),M79.1,ICD10,68962001,SNOMED,,,,55
Faiblesse musculaire,M62.81,ICD10,26544005,SNOMED,,,,56
Congestion nasale,R09.81,ICD10,68235000,SNOMED,,,1.0,57
Nausées ou vomissements,R11,ICD10,16932000,SNOMED,,,,58
Douleur pendant la miction (dysurie),R30.0,ICD10,49650001,SNOMED,,,,59
Pâleur,R23.1,ICD10,398979000,SNOMED,,,,60
Palpitations,R00.2,ICD10,80313002,SNOMED,,,,61
Paresthésie de la peau,R20.2,ICD10,91019004,SNOMED,,,,62
Problèmes de déglutition ou de mastication (dysphagie),R13.10,ICD10,40739000,SNOMED,,,,63
Prurit,L29,ICD10,418363000,SNOMED,,,,64
Battement cardiaque/pouls rapide (tachycardie),R00.0,ICD10,3424008,SNOMED,,,,65
Éruptions cutanées ou lésions cutanées,R21,ICD10,271807003,SNOMED,,,,66
Rétention d'urine,R33.9,ICD10,267064002,SNOMED,,,,67
Essoufflement (dyspnée),R06.0,ICD10,267036007,SNOMED,,,1.0,68
Lésion cutanée,,,,SNOMED,1.0,,,69
Éruption cutanée,R21,ICD10,271807003,SNOMED,,1.0,,70
