Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Syndromic CRF_Encephalitis,Comment,Value
"Amikacine (Amikin, Biodacin, Miacin)",J01GB06,ATC,1.0,,,,,,,,,,,1
"Amoxicilline (Amoxil, Moxatag, Trimox)",J01CA04,ATC,1.0,1.0,,,,,1.0,,,,,2
"Amoxicilline/inhibiteur de bêta-lactamase (Amoxicilline/Clavulanate, Amoxicilline et acide clavulanique, Augmentin, Amoxyclav, Co-amoxiclav)",J01CR02,ATC,1.0,1.0,,,,,1.0,,,,,3
"Amphotéricine (Amphotéricine B, Amphocine, Fungizone, Fungilin)",J02AA01,ATC,,,,,,,,,,,,4
Ampicilline (Polyflex),J01CA01,ATC,1.0,,,,,,,,,1.0,,5
"Inhibiteur d'ampicilline/bêta-lactamase (Ampicilline/Sulbactam, Sulacilline, Unasyn)",J01CR01,ATC,1.0,,,,,,,,,,,6
"Atovaquone (Mépron, Wellvone)",P01AX06,ATC,,,,,,,,,,,,7
"Azithromycine (Sumamed, Zithromax, Zmax)",J01FA10,ATC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,8
"Aztréonam (Azactam, Cayston, Primbactam)",J01DF01,ATC,,,,,,,,,,,,9
"Bacampicilline (Penglobe, Spectrobid)",J01CA06,ATC,,,,,,,,,,,,10
Bacitracine (Baciguent),J01XX10,ATC,,,,,,,,,,,,11
Benzathine phénoxyméthylpénicilline (Pénicilline V),J01CE10,ATC,,,,,,,,,,,,12
"Benzylpénicilline (Pénicilline G, Bactracilline G, )",J01CE01,ATC,1.0,,,,,,,,,,,13
Capréomycine (Capastat),J04AB30,ATC,,,,,,,,,,,,14
"Carbénicilline indanyl sodique (Anabactyl, Carbapen, Carindacillin, Pyopen)",J01CA05,ATC,,,,,,,,,,,,15
Caspofongine (Cancidas),J02AX04,ATC,,,,,,,,,,,,16
"Céfaclor (Biocef, Ceclor, Raniclor)",J01DC04,ATC,,,,,,,,,,,,17
Céfadroxil (Duricef),J01DB05,ATC,,,,,,,,,,,,18
"Céfalexine (Céphalexine, Keflex, Daxbia)",J01DB01,ATC,1.0,,,,,,,,,,,19
Céfamandole (Mandol),J01DC03,ATC,,,,,,,,,,,,20
"Céfazoline (Ancef, Kefzol)",J01DB04,ATC,1.0,,,,,,,,,,,21
"Cefdinir (Cefzon, Omnicef)",J01DD15,ATC,,,,,,,,,,,,22
Cefditoren (Spectracef),J01DD16,ATC,,,,,,,,,,,,23
Céfépime (Maxipime),J01DE01,ATC,1.0,,,,,,,,,1.0,,24
Céfixime (Suprax),J01DD08,ATC,,,,,,,,,,,,25
Céfmétazole (Zéfazone),J01DC09,ATC,,,,,,,,,,,,26
Céfopérazone (Cefobid),J01DD12,ATC,,,,,,,,,,,,27
Céfotaxime (Claforan),J01DD01,ATC,1.0,,,,,,,,,1.0,,28
Céfotétan (Céfotan),J01DC05,ATC,,,,,,,,,,,,29
"Céfoxitine (Mefoxin, Renoxitine)",J01DC01,ATC,,,,,,,,,,,,30
Céfpodoxime Proxétil (Vantin),J01DD13,ATC,,,,,,,,,,,,31
"Cefprozil (Cefproxil, Cefproz, Cefzil)",J01DC10,ATC,,,,,,,,,,,,32
"Ceftaroline Fosamil (Teflaro, Zinforo)",J01DI02,ATC,1.0,,,,,,,,,,,33
"Ceftazidime (Fortaz, Tazicef)",J01DD02,ATC,1.0,,,,,,,,,1.0,,34
"Inhibiteur de ceftazidime/bêta-lactamase (ceftazidime/avibactam, Avycaz, Zavicefta)",J01DD52,ATC,,,,,,,,,,,,35
Ceftibuten (Cedax),J01DD14,ATC,,,,,,,,,,,,36
Ceftizoxime (Céfizox),J01DD07,ATC,,,,,,,,,,,,37
Ceftobiprole Médocaril (Zeftera),J01DI01,ATC,1.0,,,,,,,,,,,38
"Ceftriaxone (Rocéphine, Wintriaxone)",J01DD04,ATC,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,39
"Céfuroxime (Ceftine, Zinacef)",J01DC02,ATC,1.0,,,,,,,,,,,40
"Céphalexine (Céfalexine, Keflex, Daxbia)",J01DB01,ATC,,,,,,,,,,,,41
"Céphalothine (Céfalotine,",J01DB03,ATC,,,,,,,,,,,,42
"Céphapirine (Céfapirine,",J01DB08,ATC,,,,,,,,,,,,43
"Céphradine (Céfradine, Velosef)",J01DB09,ATC,,,,,,,,,,,,44
"Chloramphénicol (Chloromycétine, Viceton)",J01BA01,ATC,,,,,,,,,,,,45
Cinoxacine (Cinobac),J01MB06,ATC,,,,,,,,,,,,46
"Ciprofloxacine (Cetraxal, Cipro, Ciloxan, Proquin)",J01MA02,ATC,1.0,,,,,,,,,,,47
"Clarithromycine (Biaxin, Klacid)",J01FA09,ATC,1.0,,,,,,,,,,,48
"Clindamycine (Cleocin, Dalacin)",J01FF01,ATC,1.0,,,,,,,,,,,49
"Cloxacilline (Tegopen, Cloxapen)",J01CF02,ATC,,,,,,,,,,,,50
"Colistine (colistiméthate, Coly Mycin M, Colobreathe, Xylistin)",J01XB01,ATC,,,,,,,,,,,,51
Cyclosérine (Séromycine),J04AB01,ATC,,,,,,,,,,,,52
"Daptomycine (Dapzura, Cubicin)",J01XX09,ATC,,,,,,,,,,,,53
Déméclocycline (Déclomycine),J01AA01,ATC,,,,,,,,,,,,54
"Dicloxacilline (Diclocil, Dycill, Dynapen)",J01CF01,ATC,,,,,,,,,,,,55
Dirithromycine (Dynabac),J01FA13,ATC,,,,,,,,,,,,56
"Doripénème (Doribax, Finibax)",J01DH04,ATC,,,,,,,,,,,,57
"Doxycycline (Vibramycine, Oracea, Monodox)",J01AA02,ATC,1.0,1.0,,1.0,1.0,,,,,,,58
Énoxacine,J01MA04,ATC,,,,,,,,,,,,59
Ertapénem (Invanz),J01DH03,ATC,1.0,,,,,,,,,,,60
"Érythromycine (Eryc, Erythrocin)",J01FA01,ATC,1.0,,,,,,,,,,,61
Éthambutol,J04AK02,ATC,,,,,,,,,,,,62
"Flucloxacilline (Floxapen, Fluclox)",J01CF05,ATC,1.0,,,,,,,,,,,63
Fluconazole (Diflucan),J02AC01,ATC,1.0,,,,,,,,,,,64
Fosfomycine (Monurol),J01XX01,ATC,1.0,,,,,,,,,,,65
Acide fusidique,J01XC01,ATC,,,,,,,,,,,,66
Gatifloxacine (Tequin),J01MA16,ATC,,,,,,,,,,,,67
Gémifloxacine (Factif),J01MA15,ATC,,,,,,,,,,,,68
"Gentamicine (Garamycine, Gentak, Genoptic)",J01GB03,ATC,1.0,,,,,,,,,,,69
Grépafloxacine,J01MA11,ATC,,,,,,,,,,,,70
Imipénem/Cilastatine (Primaxin),J01DH51,ATC,1.0,,,,,,,,,1.0,,71
"Isoniazide (Nydrazide, Laniazide)",J04AC01,ATC,1.0,,,,,,,,,,,72
Kanamycine (Kantrex),J01GB04,ATC,,,,,,,,,,,,73
"Lévofloxacine (Levaquin, Levxin, Tavanic)",J01MA12,ATC,1.0,,,,,1.0,1.0,,,,,74
"Lincomycine (Linobac, Lincomed)",J01FF02,ATC,,,,,,,,,,,,75
Linézolide (Zyvox),J01XX08,ATC,1.0,,,,,,,,,,,76
Loméfloxacine,J01MA07,ATC,,,,,,,,,,,,77
"Méropénem (Merrem, Meronem)",J01DH02,ATC,1.0,,,,,,,,,1.0,,78
"Hippurate de méthénamine (Hiprex, Urex)",J01XX05,ATC,,,,,,,,,,,,79
"Méthicilline (Méticilline, Staphcilline)",J01CF03,ATC,,,,,,,,,,,,80
"Métronidazole (Flagyl, Likmez)",J01XD01,ATC,1.0,,,,,,,,,,,81
