Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Encephalitis,Comment,Value
"Béclométhasone (Béclométasone, Béconase)",R03BA01,ATC,,,,,,,,,,1.0,,1
"Bétaméthasone (Celestone, Betnelan)",H02AB01,ATC,,,,,,,,,,1.0,,2
Budésonide (Pulmicort),R03BA02,ATC,,,,,,,,,,1.0,,3
Cortisone (Cortone),H02AB10,ATC,,,,,,,1.0,,,1.0,,4
"Dexaméthasone (Decadron, Dexasone, Diodex)",H02AB02,ATC,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,5
"Fludrocortisone (Astonin, Florinef)",H02AA02,ATC,,,,,,,,,,1.0,,6
"Fluticasone (Flovent, Flonase)",R03BA05,ATC,,,,,,,,,,1.0,,7
"Hydrocortisone (Cortef, Solu-Cortef)",H02AB09,ATC,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,8
"Méthylprednisolone (Medrol, Solu-Medrol)",H02AB04,ATC,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,9
"Mométasone (Asmanex, Elocon, Nasonex)",R03BA07,ATC,,,,,,,,,,1.0,,10
"Prednisolone (Prelone, Orapred)",H02AB06,ATC,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,11
Prednisone (Deltasone),H02AB07,ATC,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,12
"Triamcinolone (Kenalog, Aristocort)",H02AB08,ATC,,,,,,,,,,,,13
