Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Syndromic CRF_Encephalitis,Value
Analgésique,373265006 |Analgesic (substance)|,SNOMED,1.0,,1.0,,,1.0,1.0,1.0,1
Antibiotique,255631004 |Antibiotic (product)|,SNOMED,1.0,1.0,,1.0,1.0,,1.0,1.0,2
Anticoagulant,372862008 |Anticoagulant (substance)|,SNOMED,,1.0,,1.0,,1.0,,,3
Antifongique,373219008 |Substance with antifungal mechanism of action (substance)|,SNOMED,1.0,1.0,,1.0,,,,1.0,4
Antihistamine,6425004 |Product containing histamine receptor antagonist (product)|,SNOMED,,,,,,,,,5
Antiprotozoaire,788027008 |Medicinal product acting as antiprotozoal agent (product)|,SNOMED,,,,,,,,,6
Antiprurigineux,312067003 |Local antipruritic agent (product)|,SNOMED,1.0,,,,,,,,7
Antiviral,372701006,SNOMED,1.0,1.0,1.0,1.0,,,1.0,1.0,8
Plasma de convalescence,1179779000,SNOMED,,,,,,,,,9
Corticostéroïde,116566001,SNOMED,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10
Diurétiques,372695000,SNOMED,,,,,,,,,11
Immunomodulateur,372558009,SNOMED,,,1.0,,,,,,12
Médicaments immunosuppresseurs (non stéroïdiens),69431002,SNOMED,,,1.0,,,,,,13
Inotropes / vasopresseur,373213009 |Inotropic agent (substance)|870406003 |Vasopressor (substance)|,SNOMED,,1.0,,1.0,,,1.0,1.0,14
Immunoglobuline intraveineuse,698802001,SNOMED,,,1.0,,,,,,15
Antibiotique topique,255631004 |Antibiotic (product)| 6064005 |Topical route (qualifier value)|,SNOMED,1.0,,,,,,1.0,,16
Anesthésique local,,,,,,,,1.0,,,17
Antidépresseurs et anxiolytiques,,,,,,,,1.0,,,18
Antiépileptiques,,,,,,,,1.0,,,19
Antifibrinolytique,,,,,,,,,1.0,,20
Antipaludique,,,,,,,,,1.0,,21
