Paper-like section,Text,Paper-like section_translation,Text_translation
Title,ISARIC CORE CRF,Titre,CRF DE BASE ISARIC
DESIGN OF THIS CASE REPORT FORM (CRF),This CRF is set up in modules to be used for recording data on [PROJECT_NAME].  A template for completion instructions is below. This should be tailored to the objectives of your data collection.,CONCEPTION DE CE FORMULAIRE DE RAPPORT DE CAS (CRF),Ce CRF est configuré en modules à utiliser pour enregistrer des données sur [PROJECT_NAME].  Un modèle pour les instructions de réalisation est ci-dessous. Cela doit être adapté aux objectifs de votre collecte de données.
PRESENTATION FORM, ALWAYS complete on the first day of presentation/admission/assessment. ,FORMULAIRE DE PRÉSENTATION,TOUJOURS compléter le premier jour de présentation/admission/évaluation.
PRESENTATION FORM,Timing /Events: Hospital admission / initial assessment,FORMULAIRE DE PRÉSENTATION,Calendrier/Événements : Admission à l’hôpital / évaluation initiale
DAILY FORM, ALWAYS complete on the first day of presentation/admission/assessment,FORME QUOTIDIENNE,TOUJOURS compléter le premier jour de présentation/admission/évaluation
DAILY FORM," IF APPLICABLE, complete on the day of admission to ICU/high dependency unit/critical care (if different date to the date of first presentation/admission)",FORME QUOTIDIENNE,"SI APPLICABLE, à compléter le jour de l'admission en USI/unité pour dépendances élevées/soins intensifs (si date différente de la date de première présentation/admission)"
DAILY FORM, OPTION to complete on days that research specific samples are taken,FORME QUOTIDIENNE,OPTION à compléter les jours où des échantillons spécifiques à la recherche sont prélevés
DAILY FORM, OPTION to complete daily if of interest for specific analysis. ,FORME QUOTIDIENNE,OPTION à compléter quotidiennement si cela présente un intérêt pour une analyse spécifique.
DAILY FORM,Timing /Events: Hospital admission / initial assessment | Admission to ICU (if applicable) | Research sample taken (optional) | As per site protocol (optional),FORME QUOTIDIENNE,Calendrier/Événements : Admission à l'hôpital / évaluation initiale | Admission aux soins intensifs (le cas échéant) | Échantillon de recherche prélevé (facultatif) | Selon le protocole du site (facultatif)
OUTCOME FORM, ALWAYS complete at discharge or death or at the end of the study period,FORMULAIRE DE RÉSULTAT,TOUJOURS compléter à la sortie ou au décès ou à la fin de la période d’études
OUTCOME FORM,Timing /Events: Discharge / death / end of study,FORMULAIRE DE RÉSULTAT,Moment/Événements : Sortie/décès/fin des études
FOLLOW-UP FORM,Timing /Events: As per site protocol (optional),FORMULAIRE DE SUIVI,Calendrier/événements : selon le protocole du site (facultatif)
WITHDRAWAL FORM,Timing /Events: As per site protocol (optional),FORMULAIRE DE RETRAIT,Calendrier/événements : selon le protocole du site (facultatif)
Follow-up details,Continue to follow-up patients who transfer between wards.,Détails du suivi,Continuer à suivre les patients qui sont transférés entre les services.
PREGNANCY FORM,"OPTION to complete for Pregnant inividual OR mother of a neonate  , OR neonate if mother is not  included ",FORMULAIRE DE GROSSESSE,"OPTION à compléter pour une personne enceinte OU la mère d'un nouveau-né, OU un nouveau-né si la mère n'est pas incluse"
PREGNANCY FORM,Timing /Events: Pregnant individuals – delivery or end of study; Mother of a neonate or neonate (if mother not included) – at presentation,FORMULAIRE DE GROSSESSE,Calendrier/Événements : Personnes enceintes – accouchement ou fin des études ; Mère d'un nouveau-né ou d'un nouveau-né (si mère non incluse) – à la présentation
NEONATE FORM,OPTION to complete for Neonates OR if neonate not included for mother of the neonate,FORME NOUVEAU-NÉ,OPTION à compléter pour les nouveau-nés OU si le nouveau-né n'est pas inclus pour la mère du nouveau-né
NEONATE FORM,Timing /Events: Neonate – at presentation; Mother of neonate – at delivery,FORME NOUVEAU-NÉ,Calendrier/Événements : Nouveau-né – lors de la présentation ; Mère du nouveau-né – à l’accouchement
Timing /Events,Hospital admission / initial assessment | Admission to ICU (if applicable) | Research sample taken (optional) | As per site protocol (optional) | Discharge / death / end of study | Pregnant individuals – delivery or end of study; Mother of a neonate or neonate (if mother not included) – at presentation | Neonate – at presentation; Mother of neonate – at delivery,Calendrier/Événements,Admission à l'hôpital / évaluation initiale | Admission aux soins intensifs (le cas échéant) | Échantillon de recherche prélevé (facultatif) | Selon le protocole du site (facultatif) | Sortie / décès / fin d'études | Personnes enceintes – accouchement ou fin d’études ; Mère d'un nouveau-né ou d'un nouveau-né (si mère non incluse) – à la présentation | Nouveau-né – à la présentation ; Mère du nouveau-né – à l’accouchement
GENERAL GUIDANCE,Contact ISARIC Global Support Centre at data@isaric.org,DIRECTIVES GÉNÉRALES,Contactez le centre de support mondial ISARIC à data@isaric.org
GENERAL GUIDANCE,"The CRF is designed to collect data obtained through examination, interview, review of hospital notes, or extraction from electronic health records.  Data may be collected prospectively or retrospectively if the patient is enrolled after the date of presentation to a health facility. ",DIRECTIVES GÉNÉRALES,"Le CRF est conçu pour collecter des données obtenues par examen, entretien, examen de notes d'hôpital ou extraction de dossiers de santé électroniques.  Les données peuvent être collectées de manière prospective ou rétrospective si le patient est inscrit après la date de présentation dans un établissement de santé."
GENERAL GUIDANCE,Please refer to the CRF Completion Guideline for detailed guidance on how to complete these forms.,DIRECTIVES GÉNÉRALES,Veuillez vous référer aux lignes directrices pour remplir le CRF pour obtenir des conseils détaillés sur la façon de remplir ces formulaires.
GENERAL GUIDANCE,"Your institution may capture data: <br/>(a) on the ISARIC hosted REDCap database - contact ISARIC for access, <br/>(b) to a REDCap database hosted at your institution - contact ISARIC if you would like support to set this up, or<br/>(c) on a database or electronic health record system at your institution - contact ISARIC to support data mapping.  ",DIRECTIVES GÉNÉRALES,"Votre établissement peut capturer des données : <br/>(a) sur la base de données REDCap hébergée par l'ISARIC - contactez l'ISARIC pour y accéder, <br/>(b) sur une base de données REDCap hébergée dans votre établissement - contactez l'ISARIC si vous souhaitez obtenir de l'aide pour la mise en place, ou<br/>(c) sur une base de données ou un système de dossier de santé électronique de votre établissement - contactez l'ISARIC pour prendre en charge la cartographie des données."
