Drugs,Code, Library,Selected,Comment,Value
"0,18%-0,3% Cloruro de Sodio + 4% Glucosa (Solución salina hipotónica con dextrosa)",,,1,,1
"0,45 % de cloruro de sodio (solución salina medio normal)",,,1,,2
"Solución salina normal al 0,45 % + glucosa al 4 % (solución salina medio normal con dextrosa)",,,1,,3
"0,9 % cloruro de sodio (solución salina normal)",,,1,,4
5% Glucosa (Dextrosa 5% en Agua),,,1,,5
Albúmina,,,1,,6
gelatinas,,,1,,7
Timbres lactatos (USP),,,1,,8
plasmalito,,,1,,9
Acetato de timbres,,,1,,10
Almidones,,,1,,11
