Microorganism,Code,Library,Type,Value,Selected
acremonio,63996006.0,SNOMED,fungi,1,1
adenovirus,424470006.0,SNOMED,virus,2,1
Ancylostoma duodenal,81559006.0,SNOMED,"parasite, helminth",3,1
Ortohantavirus de los Andes,442001008.0,SNOMED,virus,4,1
Arenaviridae,243624009.0,SNOMED,virus,5,1
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",6,1
Aspergilo,2429008.0,SNOMED,fungi,7,1
Aspergillus flavus,66821001.0,SNOMED,fungi,8,1
Aspergillus fumigatus,32684000.0,SNOMED,fungi,9,1
Complejo Aspergillus fumigatus,719029007.0,SNOMED,fungi,10,1
Aspergillus niger,89354002.0,SNOMED,fungi,11,1
Aspergillus terreus,26406003.0,SNOMED,fungi,12,1
Aspergillus versicolor,48315007.0,SNOMED,fungi,13,1
Astroviridae,424055004.0,SNOMED,virus,14,1
Influenza aviar A H5N1,772827006.0,SNOMED,virus,15,1
Influenza aviar A H7N9,609444009.0,SNOMED,virus,16,1
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",17,1
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,18,1
Bocavirus (Género),430902006.0,SNOMED,virus,19,1
brugia malayo,112443002.0,SNOMED,"parasite, helminth",20,1
Bunyaviridae (Familia),243615000.0,SNOMED,virus,21,1
Caliciviridae (Familia),243627002.0,SNOMED,virus,22,1
cándida,3265006.0,SNOMED,fungi,23,1
Candida albicans,53326005.0,SNOMED,fungi,24,1
Candida auris,3490000000000.0,SNOMED,fungi,25,1
Candida dubliniensis,115952006.0,SNOMED,fungi,26,1
Candida glabrata,444877006.0,SNOMED,fungi,27,1
Candida inconspicua,283871001.0,SNOMED,fungi,28,1
ortopsilosis por cándida,3690000000000.0,SNOMED,fungi,29,1
Candida parapsilosis,61302002.0,SNOMED,fungi,30,1
Candida tropicalis,47885008.0,SNOMED,fungi,31,1
Clavispora lusitaniae,50164000.0,SNOMED,fungi,32,1
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",33,1
Coccidioides,8672004.0,SNOMED,fungi,34,1
Coccidioides immitis,23439005.0,SNOMED,fungi,35,1
Coronaviridae (Familia),243607003.0,SNOMED,virus,36,1
Virus de la fiebre hemorrágica de Crimea-Congo (FECH),79875007.0,SNOMED,virus,37,1
Criptococo gattii,450862004.0,SNOMED,fungi,38,1
Criptococo neoformans,67168003.0,SNOMED,fungi,39,1
criptosporidio,83821001.0,SNOMED,"parasite, protozoa",40,1
Criptosporidio hominis,417722006.0,SNOMED,"parasite, protozoa",41,1
criptosporidio parvum,51504002.0,SNOMED,"parasite, protozoa",42,1
Curvularia lunata,33165007.0,SNOMED,fungi,43,1
ciclospora,103560006.0,SNOMED,"parasite, protozoa",44,1
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",45,1
Citomegalovirus,407444007.0,SNOMED,virus,46,1
deltavirus,83617006.0,SNOMED,virus,47,1
